item_code,item,unit,item_group,item_category
869,BIJI SAWI,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS)
870,BIJI KETUMBAR,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS)
871,LADA HITAM,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS)
873,LADA PUTIH,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS)
883,KRIMER MANIS BERVITAMIN CAP F&N,500 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG
884,KRIMER MANIS CAP GOLD COIN,500 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG
896,HALBA,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS)
904,BERAS SUPER CAP RAMBUTAN 5% (IMPORT),10 kg,BARANGAN BERBUNGKUS,BERAS
910,KORDIAL F&N (SIRAP ROS),2 liter,MINUMAN,BAHAN-BAHAN MINUMAN
917,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP SAUH)",1kg,BARANGAN BERBUNGKUS,TEPUNG
918,MINYAK MASAK PAKET (PELBAGAI JENAMA),1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK
919,SUSU TEPUNG PENUH KRIM DUTCHLADY,600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG
929,NESCAFE CLASSIC (PAKET),200 g,MINUMAN,BAHAN-BAHAN MINUMAN
957,SOS CILI KIMBALL,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS
992,BERAS CAP JATI (SST5%),10 kg,BARANGAN BERBUNGKUS,BERAS
1017,FISHERMAN'S FRIEND ORIGINAL,25 g,BARANGAN KEDAI SERBANEKA,UBAT-UBATAN
1019,MINYAK ANGIN CAP KAPAK,3 ml,BARANGAN KEDAI SERBANEKA,UBAT-UBATAN
1020,VICKS VAPORUB,10 g,BARANGAN KEDAI SERBANEKA,UBAT-UBATAN
1025,LISTERINE COOL MINT,250 ml,BARANGAN KEDAI SERBANEKA,MOUTH WASH
1050,MAGGI MEE CURRY,79 g,BARANGAN KEDAI SERBANEKA,MAKANAN SEGERA
1063,KINDER BUENO - MILK & HAZELNUT,43 g,BARANGAN KEDAI SERBANEKA,COKLAT
1070,SOS CILI MAGGI,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS
1080,SERBUK PENAIK ROYAL (TIN),226g,BARANGAN BERBUNGKUS,ESEN DAN RAGI
1081,MACKAREL CAP KING CUP (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN
1082,MACKAREL CAP AYAM (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN
1084,TEH BOH (SERBUK),500 g,MINUMAN,BAHAN-BAHAN MINUMAN
1086,MINYAK JAGUNG CAP DAISY,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK
1087,MINYAK JAGUNG CAP DAISY,3 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK
1088,MINYAK JAGUNG CAP MAZOLA,3 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK
1089,MINYAK JAGUNG CAP VECORN,3 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK
1090,MINYAK JAGUNG CAP VECORN,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK
1091,MINYAK MASAK SEBATIAN CAP HELANG,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK
1092,MINYAK MASAK SEBATIAN CAP NEPTUNE,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK
1093,MINYAK MASAK SEBATIAN CAP PISAU,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK
1094,MINYAK MASAK TULEN CAP BURUH,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK
1095,MINYAK MASAK TULEN CAP VESAWIT,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK
1097,SOS CILI MAGGI,500 g,BARANGAN BERBUNGKUS,KICAP DAN SOS
1100,MINYAK MASAK TULEN CAP SERI MURNI,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK
1101,MINYAK MASAK TULEN CAP SERI MURNI,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK
1105,SUSU ANLENE ACTIFIT 3X COKLAT,600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG
1109,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR
1110,TELUR AYAM GRED B,30 biji,BARANGAN SEGAR,TELUR
1111,TELUR AYAM GRED C,30 biji,BARANGAN SEGAR,TELUR
1114,SOS TIRAM KIMBALL,510 g,BARANGAN BERBUNGKUS,KICAP DAN SOS
1115,KICAP LEMAK MASIN CAP KIPAS UDANG,345ml,BARANGAN BERBUNGKUS,KICAP DAN SOS
1116,SOS TIRAM NONA,510 g,BARANGAN BERBUNGKUS,KICAP DAN SOS
1117,SOS TIRAM ADABI,510 g,BARANGAN BERBUNGKUS,KICAP DAN SOS
1125,SERBUK CILI KIJANG,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS)
1127,AYAM BELANDA IMPORT,1kg,BARANGAN SEGAR,AYAM
1128,LADA BENGGALA HIJAU (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN
1129,LADA BENGGALA MERAH (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN
1130,LADA BENGGALA KUNING (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN
1131,UBI KENTANG IMPORT (CHINA),1kg,BARANGAN KERING,UBI KENTANG
1132,LIMAU NIPIS,1kg,BARANGAN SEGAR,BUAH-BUAHAN
1135,KICAP MANIS ADABI,340ml,BARANGAN BERBUNGKUS,KICAP DAN SOS
1136,KICAP MASIN ADABI,340ml,BARANGAN BERBUNGKUS,KICAP DAN SOS
1137,SOS CILI THAI LIFE,360g,BARANGAN BERBUNGKUS,KICAP DAN SOS
1138,SOS TIRAM MAGGI,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS
1139,SOS TOMATO LIFE,330 g,BARANGAN BERBUNGKUS,KICAP DAN SOS
1140,MARJERIN PLANTA,240 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS)
1141,MARJERIN DAISY,240 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS)
1142,SARDIN CAP ADABI (SOS TOMATO DENGAN CILI),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN
1144,MENTEGA KACANG HALUS LADY'S CHOICE,340 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS)
1145,NESTLE CERELAC BERAS - TIN,500 g,SUSU DAN BARANGAN BAYI,MAKANAN BAYI
1151,SANTAN KELAPA JENAMA AYAM BRAND,1 liter,BARANGAN BERBUNGKUS,SANTAN (KOTAK)
1153,PERENCAH TOM YAM ADABI,40 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS)
1157,NASI PUTIH KOSONG,sepinggan,MAKANAN SIAP MASAK,NASI
1158,NASI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI
1159,NASI LEMAK (BERBUNGKUS),sebungkus,MAKANAN SIAP MASAK,NASI
1160,NASI LEMAK (TIDAK BERBUNGKUS),sepinggan,MAKANAN SIAP MASAK,NASI
1161,NASI + SAYUR + IKAN,sepinggan,MAKANAN SIAP MASAK,NASI
1162,NASI + SAYUR + AYAM,sepinggan,MAKANAN SIAP MASAK,NASI
1163,NASI + SAYUR + DAGING,sepinggan,MAKANAN SIAP MASAK,NASI
1164,NASI + SAYUR + SOTONG,sepinggan,MAKANAN SIAP MASAK,NASI
1165,NASI + SAYUR + UDANG,sepinggan,MAKANAN SIAP MASAK,NASI
1167,NASI GORENG KAMPUNG,sepinggan,MAKANAN SIAP MASAK,NASI
1168,NASI GORENG PAPRIK,sepinggan,MAKANAN SIAP MASAK,NASI
1169,NASI GORENG CINA,sepinggan,MAKANAN SIAP MASAK,NASI
1170,NASI GORENG PATAYA,sepinggan,MAKANAN SIAP MASAK,NASI
1172,NASI GORENG CILI PADI,sepinggan,MAKANAN SIAP MASAK,NASI
1173,NASI GORENG DAGING MERAH,sepinggan,MAKANAN SIAP MASAK,NASI
1174,NASI GORENG USA,sepinggan,MAKANAN SIAP MASAK,NASI
1175,NASI GORENG AYAM,sepinggan,MAKANAN SIAP MASAK,NASI
1183,BIHUN GORENG,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW
1184,BIHUN HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW
1186,BIHUN TOMYAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW
1187,BIHUN BANDUNG,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW
1188,BIHUN LADNA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW
1189,BIHUN KUNGFU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW
1198,AYAM GORENG,seketul,MAKANAN SIAP MASAK,LAUK
1199,AYAM MASAK MERAH,seketul,MAKANAN SIAP MASAK,LAUK
1200,AYAM MASAK KICAP,seketul,MAKANAN SIAP MASAK,LAUK
1201,AYAM MASAK HALIA,seketul,MAKANAN SIAP MASAK,LAUK
1202,DAGING MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK
1203,DAGING MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK
1204,DAGING MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK
1205,DAGING MASAK PAPRIK,sepiring,MAKANAN SIAP MASAK,LAUK
1206,SOTONG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK
1207,SOTONG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK
1208,SOTONG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK
1209,SOTONG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK
1210,UDANG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK
1211,UDANG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK
1212,UDANG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK
1213,UDANG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK
1214,SAYUR CAMPUR,sepiring,MAKANAN SIAP MASAK,LAUK
1215,SAYUR KAILAN IKAN MASIN,sepiring,MAKANAN SIAP MASAK,LAUK
1216,SAYUR KANGKUNG GORENG BELACAN,sepiring,MAKANAN SIAP MASAK,LAUK
1232,TELUR MATA KERBAU,sebiji,MAKANAN SIAP MASAK,LAUK
1233,TELUR DADAR,sebiji,MAKANAN SIAP MASAK,LAUK
1234,TELUR BISTIK,1 set,MAKANAN SIAP MASAK,LAUK
1235,TELUR SETENGAH MASAK,sebiji,MAKANAN SIAP MASAK,LAUK
