Sex,Age group,Year,State,Number of death
Male,35-39,2001,Pulau Pinang,131
Male,35-39,2001,Pahang,149
Male,35-39,2001,Perak,284
Male,35-39,2001,Perlis,31
Male,35-39,2001,Sabah,
Male,35-39,2001,Sarawak,135
Male,35-39,2001,Selangor,380
Male,35-39,2001,Terengganu,133
Male,35-39,2001,W.P. Kuala Lumpur,133
Male,35-39,2001,W.P. Labuan,3
Male,40-44,2001,Johor,399
Male,40-44,2001,Kedah,208
Male,40-44,2001,Kelantan,157
Male,40-44,2001,Melaka,86
Male,40-44,2001,Negeri Sembilan,146
Male,40-44,2001,Pulau Pinang,164
Male,40-44,2001,Pahang,144
Male,40-44,2001,Perak,356
Male,40-44,2001,Perlis,34
Male,40-44,2001,Sabah,
Male,40-44,2001,Sarawak,204
Male,40-44,2001,Selangor,446
Male,40-44,2001,Terengganu,108
Male,40-44,2001,W.P. Kuala Lumpur,207
Male,40-44,2001,W.P. Labuan,3
Male,45-49,2001,Johor,396
Male,45-49,2001,Kedah,223
Male,45-49,2001,Kelantan,162
Male,45-49,2001,Melaka,98
Male,45-49,2001,Negeri Sembilan,177
Male,45-49,2001,Pulau Pinang,224
Male,45-49,2001,Pahang,195
Male,45-49,2001,Perak,400
Male,45-49,2001,Perlis,31
Male,45-49,2001,Sabah,
Male,45-49,2001,Sarawak,219
Male,45-49,2001,Selangor,517
Male,45-49,2001,Terengganu,116
Male,45-49,2001,W.P. Kuala Lumpur,235
Male,45-49,2001,W.P. Labuan,7
Male,50-54,2001,Johor,516
Male,50-54,2001,Kedah,329
Male,50-54,2001,Kelantan,243
Male,50-54,2001,Melaka,121
Male,50-54,2001,Negeri Sembilan,191
Male,50-54,2001,Pulau Pinang,285
Male,50-54,2001,Pahang,226
Male,50-54,2001,Perak,498
Male,50-54,2001,Perlis,33
Male,50-54,2001,Sabah,
Male,50-54,2001,Sarawak,260
Male,50-54,2001,Selangor,626
Male,50-54,2001,Terengganu,127
Male,50-54,2001,W.P. Kuala Lumpur,266
Male,50-54,2001,W.P. Labuan,10
Male,55-59,2001,Johor,537
Male,55-59,2001,Kedah,362
Male,55-59,2001,Kelantan,374
Male,55-59,2001,Melaka,149
Male,55-59,2001,Negeri Sembilan,177
Male,55-59,2001,Pulau Pinang,316
Male,55-59,2001,Pahang,282
Male,55-59,2001,Perak,565
Male,55-59,2001,Perlis,47
Male,55-59,2001,Sabah,
Male,55-59,2001,Sarawak,391
Male,55-59,2001,Selangor,607
Male,55-59,2001,Terengganu,227
Male,55-59,2001,W.P. Kuala Lumpur,270
Male,55-59,2001,W.P. Labuan,6
Male,60-64,2001,Johor,689
Male,60-64,2001,Kedah,537
Male,60-64,2001,Kelantan,386
Male,60-64,2001,Melaka,225
Male,60-64,2001,Negeri Sembilan,253
Male,60-64,2001,Pulau Pinang,397
Male,60-64,2001,Pahang,373
Male,60-64,2001,Perak,744
Male,60-64,2001,Perlis,53
Male,60-64,2001,Sabah,
Male,60-64,2001,Sarawak,410
Male,60-64,2001,Selangor,766
Male,60-64,2001,Terengganu,269
Male,60-64,2001,W.P. Kuala Lumpur,344
Male,60-64,2001,W.P. Labuan,5
Male,65-69,2001,Johor,692
Male,65-69,2001,Kedah,611
Male,65-69,2001,Kelantan,357
Male,65-69,2001,Melaka,220
Male,65-69,2001,Negeri Sembilan,285
Male,65-69,2001,Pulau Pinang,485
Male,65-69,2001,Pahang,312
Male,65-69,2001,Perak,961
Male,65-69,2001,Perlis,79
Male,65-69,2001,Sabah,
Male,65-69,2001,Sarawak,552
Male,65-69,2001,Selangor,773
Male,65-69,2001,Terengganu,226
Male,65-69,2001,W.P. Kuala Lumpur,326
Male,65-69,2001,W.P. Labuan,6
Male,70-74,2001,Johor,766
Male,70-74,2001,Kedah,629
Male,70-74,2001,Kelantan,437
Male,70-74,2001,Melaka,277
Male,70-74,2001,Negeri Sembilan,331
Male,70-74,2001,Pulau Pinang,490
Male,70-74,2001,Pahang,271
Male,70-74,2001,Perak,926
Male,70-74,2001,Perlis,98
Male,70-74,2001,Sabah,
Male,70-74,2001,Sarawak,594
Male,70-74,2001,Selangor,766
Male,70-74,2001,Terengganu,262
Male,70-74,2001,W.P. Kuala Lumpur,341
Male,70-74,2001,W.P. Labuan,9
Male,75-79,2001,Johor,655
Male,75-79,2001,Kedah,506
Male,75-79,2001,Kelantan,443
Male,75-79,2001,Melaka,204
Male,75-79,2001,Negeri Sembilan,217
Male,75-79,2001,Pulau Pinang,432
Male,75-79,2001,Pahang,265
Male,75-79,2001,Perak,753
Male,75-79,2001,Perlis,92
Male,75-79,2001,Sabah,
Male,75-79,2001,Sarawak,580
Male,75-79,2001,Selangor,574
Male,75-79,2001,Terengganu,255
Male,75-79,2001,W.P. Kuala Lumpur,277
Male,75-79,2001,W.P. Labuan,13
Male,80-84,2001,Johor,459
Male,80-84,2001,Kedah,453
Male,80-84,2001,Kelantan,388
Male,80-84,2001,Melaka,172
Male,80-84,2001,Negeri Sembilan,211
Male,80-84,2001,Pulau Pinang,270
Male,80-84,2001,Pahang,205
Male,80-84,2001,Perak,564
Male,80-84,2001,Perlis,92
Male,80-84,2001,Sabah,
Male,80-84,2001,Sarawak,544
Male,80-84,2001,Selangor,476
Male,80-84,2001,Terengganu,241
Male,80-84,2001,W.P. Kuala Lumpur,223
Male,80-84,2001,W.P. Labuan,9
Male,85 +,2001,Johor,525
Male,85 +,2001,Kedah,321
Male,85 +,2001,Kelantan,299
Male,85 +,2001,Melaka,144
Male,85 +,2001,Negeri Sembilan,196
Male,85 +,2001,Pulau Pinang,282
Male,85 +,2001,Pahang,202
Male,85 +,2001,Perak,570
Male,85 +,2001,Perlis,65
Male,85 +,2001,Sabah,
Male,85 +,2001,Sarawak,501
Male,85 +,2001,Selangor,445
Male,85 +,2001,Terengganu,181
Male,85 +,2001,W.P. Kuala Lumpur,229
Male,85 +,2001,W.P. Labuan,6
Female,Under 1 year,2001,Johor,208
Female,Under 1 year,2001,Kedah,149
Female,Under 1 year,2001,Kelantan,136
Female,Under 1 year,2001,Melaka,48
Female,Under 1 year,2001,Negeri Sembilan,64
Female,Under 1 year,2001,Pulau Pinang,63
Female,Under 1 year,2001,Pahang,95
Female,Under 1 year,2001,Perak,123
Female,Under 1 year,2001,Perlis,12
Female,Under 1 year,2001,Sabah,
Female,Under 1 year,2001,Sarawak,120
Female,Under 1 year,2001,Selangor,200
Female,Under 1 year,2001,Terengganu,100
Female,Under 1 year,2001,W.P. Kuala Lumpur,85
Female,Under 1 year,2001,W.P. Labuan,3
Female,1-4,2001,Johor,45
Female,1-4,2001,Kedah,43
Female,1-4,2001,Kelantan,61
Female,1-4,2001,Melaka,15
Female,1-4,2001,Negeri Sembilan,17
Female,1-4,2001,Pulau Pinang,15
Female,1-4,2001,Pahang,53
Female,1-4,2001,Perak,55
Female,1-4,2001,Perlis,3
Female,1-4,2001,Sabah,
Female,1-4,2001,Sarawak,34
Female,1-4,2001,Selangor,63
Female,1-4,2001,Terengganu,30
Female,1-4,2001,W.P. Kuala Lumpur,14
Female,1-4,2001,W.P. Labuan,0
Female,5-9,2001,Johor,49
Female,5-9,2001,Kedah,23
Female,5-9,2001,Kelantan,40
Female,5-9,2001,Melaka,9
Female,5-9,2001,Negeri Sembilan,12
Female,5-9,2001,Pulau Pinang,14
Female,5-9,2001,Pahang,20
Female,5-9,2001,Perak,32
Female,5-9,2001,Perlis,5
Female,5-9,2001,Sabah,
Female,5-9,2001,Sarawak,26
Female,5-9,2001,Selangor,39
Female,5-9,2001,Terengganu,21
Female,5-9,2001,W.P. Kuala Lumpur,16
Female,5-9,2001,W.P. Labuan,2
Female,10-14,2001,Johor,34
Female,10-14,2001,Kedah,22
Female,10-14,2001,Kelantan,33
Female,10-14,2001,Melaka,10
Female,10-14,2001,Negeri Sembilan,9
Female,10-14,2001,Pulau Pinang,11
Female,10-14,2001,Pahang,24
Female,10-14,2001,Perak,27
Female,10-14,2001,Perlis,3
Female,10-14,2001,Sabah,
Female,10-14,2001,Sarawak,24
Female,10-14,2001,Selangor,34
Female,10-14,2001,Terengganu,24
Female,10-14,2001,W.P. Kuala Lumpur,17
Female,10-14,2001,W.P. Labuan,0
Female,15-19,2001,Johor,58
Female,15-19,2001,Kedah,46
Female,15-19,2001,Kelantan,45
Female,15-19,2001,Melaka,18
Female,15-19,2001,Negeri Sembilan,19
Female,15-19,2001,Pulau Pinang,20
Female,15-19,2001,Pahang,36
Female,15-19,2001,Perak,56
Female,15-19,2001,Perlis,4
Female,15-19,2001,Sabah,
Female,15-19,2001,Sarawak,26
Female,15-19,2001,Selangor,56
Female,15-19,2001,Terengganu,20
Female,15-19,2001,W.P. Kuala Lumpur,22
Female,15-19,2001,W.P. Labuan,0
Female,20-24,2001,Johor,58
Female,20-24,2001,Kedah,49
Female,20-24,2001,Kelantan,45
Female,20-24,2001,Melaka,11
Female,20-24,2001,Negeri Sembilan,23
Female,20-24,2001,Pulau Pinang,20
Female,20-24,2001,Pahang,49
Female,20-24,2001,Perak,44
Female,20-24,2001,Perlis,4
Female,20-24,2001,Sabah,
Female,20-24,2001,Sarawak,39
Female,20-24,2001,Selangor,68
Female,20-24,2001,Terengganu,25
Female,20-24,2001,W.P. Kuala Lumpur,30
Female,20-24,2001,W.P. Labuan,0
Female,25-29,2001,Johor,64
Female,25-29,2001,Kedah,47
Female,25-29,2001,Kelantan,45
Female,25-29,2001,Melaka,9
Female,25-29,2001,Negeri Sembilan,23
Female,25-29,2001,Pulau Pinang,29
Female,25-29,2001,Pahang,41
Female,25-29,2001,Perak,59
Female,25-29,2001,Perlis,8
Female,25-29,2001,Sabah,
Female,25-29,2001,Sarawak,51
Female,25-29,2001,Selangor,66
Female,25-29,2001,Terengganu,27
Female,25-29,2001,W.P. Kuala Lumpur,31
Female,25-29,2001,W.P. Labuan,0
Female,30-34,2001,Johor,97
Female,30-34,2001,Kedah,54
Female,30-34,2001,Kelantan,45
Female,30-34,2001,Melaka,16
Female,30-34,2001,Negeri Sembilan,28
Female,30-34,2001,Pulau Pinang,32
Female,30-34,2001,Pahang,50
Female,30-34,2001,Perak,88
Female,30-34,2001,Perlis,10
Female,30-34,2001,Sabah,
Female,30-34,2001,Sarawak,58
Female,30-34,2001,Selangor,96
Female,30-34,2001,Terengganu,43
Female,30-34,2001,W.P. Kuala Lumpur,35
Female,30-34,2001,W.P. Labuan,2
Female,35-39,2001,Johor,106
Female,35-39,2001,Kedah,63
Female,35-39,2001,Kelantan,61
Female,35-39,2001,Melaka,23
Female,35-39,2001,Negeri Sembilan,32
Female,35-39,2001,Pulau Pinang,50
Female,35-39,2001,Pahang,39
Female,35-39,2001,Perak,104
Female,35-39,2001,Perlis,13
Female,35-39,2001,Sabah,
Female,35-39,2001,Sarawak,77
Female,35-39,2001,Selangor,150
Female,35-39,2001,Terengganu,36
Female,35-39,2001,W.P. Kuala Lumpur,55
Female,35-39,2001,W.P. Labuan,1
Female,40-44,2001,Johor,169
Female,40-44,2001,Kedah,94
Female,40-44,2001,Kelantan,105
Female,40-44,2001,Melaka,34
Female,40-44,2001,Negeri Sembilan,62
Female,40-44,2001,Pulau Pinang,66
Female,40-44,2001,Pahang,79
Female,40-44,2001,Perak,142
Female,40-44,2001,Perlis,11
Female,40-44,2001,Sabah,
Female,40-44,2001,Sarawak,125
Female,40-44,2001,Selangor,191
Female,40-44,2001,Terengganu,54
Female,40-44,2001,W.P. Kuala Lumpur,77
Female,40-44,2001,W.P. Labuan,4
Female,45-49,2001,Johor,232
Female,45-49,2001,Kedah,151
Female,45-49,2001,Kelantan,122
Female,45-49,2001,Melaka,60
Female,45-49,2001,Negeri Sembilan,89
Female,45-49,2001,Pulau Pinang,108
Female,45-49,2001,Pahang,115
Female,45-49,2001,Perak,184
Female,45-49,2001,Perlis,15
Female,45-49,2001,Sabah,
Female,45-49,2001,Sarawak,138
Female,45-49,2001,Selangor,257
Female,45-49,2001,Terengganu,79
Female,45-49,2001,W.P. Kuala Lumpur,106
Female,45-49,2001,W.P. Labuan,3
Female,50-54,2001,Johor,282
Female,50-54,2001,Kedah,193
Female,50-54,2001,Kelantan,165
Female,50-54,2001,Melaka,82
Female,50-54,2001,Negeri Sembilan,106
Female,50-54,2001,Pulau Pinang,134
Female,50-54,2001,Pahang,116
Female,50-54,2001,Perak,274
Female,50-54,2001,Perlis,23
Female,50-54,2001,Sabah,
Female,50-54,2001,Sarawak,201
Female,50-54,2001,Selangor,297
Female,50-54,2001,Terengganu,85
Female,50-54,2001,W.P. Kuala Lumpur,137
Female,50-54,2001,W.P. Labuan,4
Female,55-59,2001,Johor,295
Female,55-59,2001,Kedah,201
Female,55-59,2001,Kelantan,196
Female,55-59,2001,Melaka,108
Female,55-59,2001,Negeri Sembilan,96
Female,55-59,2001,Pulau Pinang,184
Female,55-59,2001,Pahang,162
Female,55-59,2001,Perak,329
Female,55-59,2001,Perlis,30
Female,55-59,2001,Sabah,
Female,55-59,2001,Sarawak,257
Female,55-59,2001,Selangor,340
Female,55-59,2001,Terengganu,131
Female,55-59,2001,W.P. Kuala Lumpur,145
Female,55-59,2001,W.P. Labuan,4
Female,60-64,2001,Johor,462
Female,60-64,2001,Kedah,333
Female,60-64,2001,Kelantan,293
Female,60-64,2001,Melaka,137
Female,60-64,2001,Negeri Sembilan,155
Female,60-64,2001,Pulau Pinang,278
Female,60-64,2001,Pahang,213
Female,60-64,2001,Perak,465
Female,60-64,2001,Perlis,55
Female,60-64,2001,Sabah,
Female,60-64,2001,Sarawak,290
Female,60-64,2001,Selangor,502
Female,60-64,2001,Terengganu,188
Female,60-64,2001,W.P. Kuala Lumpur,183
Female,60-64,2001,W.P. Labuan,5
Female,65-69,2001,Johor,531
Female,65-69,2001,Kedah,431
Female,65-69,2001,Kelantan,265
Female,65-69,2001,Melaka,194
Female,65-69,2001,Negeri Sembilan,211
Female,65-69,2001,Pulau Pinang,333
Female,65-69,2001,Pahang,213
Female,65-69,2001,Perak,709
Female,65-69,2001,Perlis,64
Female,65-69,2001,Sabah,
Female,65-69,2001,Sarawak,414
Female,65-69,2001,Selangor,626
Female,65-69,2001,Terengganu,169
Female,65-69,2001,W.P. Kuala Lumpur,230
Female,65-69,2001,W.P. Labuan,7
Female,70-74,2001,Johor,718
Female,70-74,2001,Kedah,568
Female,70-74,2001,Kelantan,492
Female,70-74,2001,Melaka,241
Female,70-74,2001,Negeri Sembilan,272
Female,70-74,2001,Pulau Pinang,455
Female,70-74,2001,Pahang,240
Female,70-74,2001,Perak,818
Female,70-74,2001,Perlis,88
Female,70-74,2001,Sabah,
Female,70-74,2001,Sarawak,503
Female,70-74,2001,Selangor,723
Female,70-74,2001,Terengganu,266
Female,70-74,2001,W.P. Kuala Lumpur,318
Female,70-74,2001,W.P. Labuan,10
Female,75-79,2001,Johor,621
Female,75-79,2001,Kedah,577
Female,75-79,2001,Kelantan,522
Female,75-79,2001,Melaka,241
Female,75-79,2001,Negeri Sembilan,274
Female,75-79,2001,Pulau Pinang,470
Female,75-79,2001,Pahang,257
Female,75-79,2001,Perak,877
Female,75-79,2001,Perlis,62
Female,75-79,2001,Sabah,
Female,75-79,2001,Sarawak,485
Female,75-79,2001,Selangor,671
Female,75-79,2001,Terengganu,285
Female,75-79,2001,W.P. Kuala Lumpur,287
Female,75-79,2001,W.P. Labuan,6
Female,80-84,2001,Johor,609
Female,80-84,2001,Kedah,516
Female,80-84,2001,Kelantan,440
Female,80-84,2001,Melaka,218
Female,80-84,2001,Negeri Sembilan,222
Female,80-84,2001,Pulau Pinang,432
Female,80-84,2001,Pahang,262
Female,80-84,2001,Perak,706
Female,80-84,2001,Perlis,93
Female,80-84,2001,Sabah,
Female,80-84,2001,Sarawak,473
Female,80-84,2001,Selangor,556
Female,80-84,2001,Terengganu,256
Female,80-84,2001,W.P. Kuala Lumpur,283
Female,80-84,2001,W.P. Labuan,3
Female,85 +,2001,Johor,712
Female,85 +,2001,Kedah,419
Female,85 +,2001,Kelantan,319
Female,85 +,2001,Melaka,211
Female,85 +,2001,Negeri Sembilan,272
Female,85 +,2001,Pulau Pinang,493
Female,85 +,2001,Pahang,250
Female,85 +,2001,Perak,862
Female,85 +,2001,Perlis,67
Female,85 +,2001,Sabah,
Female,85 +,2001,Sarawak,437
Female,85 +,2001,Selangor,608
Female,85 +,2001,Terengganu,185
Female,85 +,2001,W.P. Kuala Lumpur,346
Female,85 +,2001,W.P. Labuan,4
Male,Under 1 year,2002,Johor,251
Male,Under 1 year,2002,Kedah,144
Male,Under 1 year,2002,Kelantan,191
Male,Under 1 year,2002,Melaka,67
Male,Under 1 year,2002,Negeri Sembilan,74
Male,Under 1 year,2002,Pulau Pinang,107
Male,Under 1 year,2002,Pahang,135
Male,Under 1 year,2002,Perak,170
Male,Under 1 year,2002,Perlis,15
Male,Under 1 year,2002,Sabah,
Male,Under 1 year,2002,Sarawak,140
Male,Under 1 year,2002,Selangor,294
Male,Under 1 year,2002,Terengganu,123
Male,Under 1 year,2002,W.P. Kuala Lumpur,111
Male,Under 1 year,2002,W.P. Labuan,10
Male,1-4,2002,Johor,75
Male,1-4,2002,Kedah,47
Male,1-4,2002,Kelantan,76
Male,1-4,2002,Melaka,10
Male,1-4,2002,Negeri Sembilan,20
Male,1-4,2002,Pulau Pinang,21
Male,1-4,2002,Pahang,55
Male,1-4,2002,Perak,77
Male,1-4,2002,Perlis,4
Male,1-4,2002,Sabah,
Male,1-4,2002,Sarawak,45
Male,1-4,2002,Selangor,87
Male,1-4,2002,Terengganu,33
Male,1-4,2002,W.P. Kuala Lumpur,23
Male,1-4,2002,W.P. Labuan,0
Male,5-9,2002,Johor,55
Male,5-9,2002,Kedah,52
Male,5-9,2002,Kelantan,49
Male,5-9,2002,Melaka,16
Male,5-9,2002,Negeri Sembilan,14
Male,5-9,2002,Pulau Pinang,23
Male,5-9,2002,Pahang,35
Male,5-9,2002,Perak,57
Male,5-9,2002,Perlis,4
Male,5-9,2002,Sabah,
Male,5-9,2002,Sarawak,38
Male,5-9,2002,Selangor,56
Male,5-9,2002,Terengganu,35
Male,5-9,2002,W.P. Kuala Lumpur,32
Male,5-9,2002,W.P. Labuan,0
Male,10-14,2002,Johor,68
Male,10-14,2002,Kedah,43
Male,10-14,2002,Kelantan,63
Male,10-14,2002,Melaka,16
Male,10-14,2002,Negeri Sembilan,27
Male,10-14,2002,Pulau Pinang,18
Male,10-14,2002,Pahang,39
Male,10-14,2002,Perak,60
Male,10-14,2002,Perlis,5
Male,10-14,2002,Sabah,
Male,10-14,2002,Sarawak,35
Male,10-14,2002,Selangor,55
Male,10-14,2002,Terengganu,37
Male,10-14,2002,W.P. Kuala Lumpur,17
Male,10-14,2002,W.P. Labuan,0
Male,15-19,2002,Johor,191
Male,15-19,2002,Kedah,146
Male,15-19,2002,Kelantan,92
Male,15-19,2002,Melaka,64
Male,15-19,2002,Negeri Sembilan,98
Male,15-19,2002,Pulau Pinang,74
Male,15-19,2002,Pahang,125
Male,15-19,2002,Perak,136
Male,15-19,2002,Perlis,22
Male,15-19,2002,Sabah,
Male,15-19,2002,Sarawak,87
Male,15-19,2002,Selangor,215
Male,15-19,2002,Terengganu,63
Male,15-19,2002,W.P. Kuala Lumpur,69
Male,15-19,2002,W.P. Labuan,0
Male,20-24,2002,Johor,239
Male,20-24,2002,Kedah,143
Male,20-24,2002,Kelantan,137
Male,20-24,2002,Melaka,52
Male,20-24,2002,Negeri Sembilan,111
Male,20-24,2002,Pulau Pinang,88
Male,20-24,2002,Pahang,163
Male,20-24,2002,Perak,197
Male,20-24,2002,Perlis,14
Male,20-24,2002,Sabah,
Male,20-24,2002,Sarawak,98
Male,20-24,2002,Selangor,244
Male,20-24,2002,Terengganu,111
Male,20-24,2002,W.P. Kuala Lumpur,99
Male,20-24,2002,W.P. Labuan,2
Male,25-29,2002,Johor,252
Male,25-29,2002,Kedah,120
Male,25-29,2002,Kelantan,156
Male,25-29,2002,Melaka,50
Male,25-29,2002,Negeri Sembilan,78
Male,25-29,2002,Pulau Pinang,78
Male,25-29,2002,Pahang,145
Male,25-29,2002,Perak,195
Male,25-29,2002,Perlis,19
Male,25-29,2002,Sabah,
Male,25-29,2002,Sarawak,95
Male,25-29,2002,Selangor,261
Male,25-29,2002,Terengganu,115
Male,25-29,2002,W.P. Kuala Lumpur,75
Male,25-29,2002,W.P. Labuan,2
Male,30-34,2002,Johor,242
Male,30-34,2002,Kedah,163
Male,30-34,2002,Kelantan,188
Male,30-34,2002,Melaka,59
Male,30-34,2002,Negeri Sembilan,89
Male,30-34,2002,Pulau Pinang,100
Male,30-34,2002,Pahang,167
Male,30-34,2002,Perak,259
Male,30-34,2002,Perlis,20
Male,30-34,2002,Sabah,
Male,30-34,2002,Sarawak,139
Male,30-34,2002,Selangor,307
Male,30-34,2002,Terengganu,149
Male,30-34,2002,W.P. Kuala Lumpur,102
Male,30-34,2002,W.P. Labuan,1
Male,35-39,2002,Johor,347
Male,35-39,2002,Kedah,189
Male,35-39,2002,Kelantan,168
Male,35-39,2002,Melaka,76
Male,35-39,2002,Negeri Sembilan,122
Male,35-39,2002,Pulau Pinang,123
Male,35-39,2002,Pahang,193
Male,35-39,2002,Perak,275
Male,35-39,2002,Perlis,27
Male,35-39,2002,Sabah,
Male,35-39,2002,Sarawak,149
Male,35-39,2002,Selangor,354
Male,35-39,2002,Terengganu,110
Male,35-39,2002,W.P. Kuala Lumpur,133
Male,35-39,2002,W.P. Labuan,5
Male,40-44,2002,Johor,408
Male,40-44,2002,Kedah,242
Male,40-44,2002,Kelantan,189
Male,40-44,2002,Melaka,95
Male,40-44,2002,Negeri Sembilan,136
Male,40-44,2002,Pulau Pinang,186
Male,40-44,2002,Pahang,153
Male,40-44,2002,Perak,341
Male,40-44,2002,Perlis,30
Male,40-44,2002,Sabah,
Male,40-44,2002,Sarawak,186
Male,40-44,2002,Selangor,445
Male,40-44,2002,Terengganu,121
Male,40-44,2002,W.P. Kuala Lumpur,187
Male,40-44,2002,W.P. Labuan,14
Male,45-49,2002,Johor,493
Male,45-49,2002,Kedah,287
Male,45-49,2002,Kelantan,154
Male,45-49,2002,Melaka,102
Male,45-49,2002,Negeri Sembilan,170
Male,45-49,2002,Pulau Pinang,222
Male,45-49,2002,Pahang,189
Male,45-49,2002,Perak,379
Male,45-49,2002,Perlis,26
Male,45-49,2002,Sabah,
Male,45-49,2002,Sarawak,238
Male,45-49,2002,Selangor,534
Male,45-49,2002,Terengganu,146
Male,45-49,2002,W.P. Kuala Lumpur,229
Male,45-49,2002,W.P. Labuan,6
Male,50-54,2002,Johor,485
Male,50-54,2002,Kedah,338
Male,50-54,2002,Kelantan,249
Male,50-54,2002,Melaka,136
Male,50-54,2002,Negeri Sembilan,173
Male,50-54,2002,Pulau Pinang,291
Male,50-54,2002,Pahang,270
Male,50-54,2002,Perak,472
Male,50-54,2002,Perlis,48
Male,50-54,2002,Sabah,
Male,50-54,2002,Sarawak,325
Male,50-54,2002,Selangor,626
Male,50-54,2002,Terengganu,137
Male,50-54,2002,W.P. Kuala Lumpur,302
