#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
MYS,Malaysia,21806,Refugees by country of origin (thousands),1.155,2019
MYS,Malaysia,23806,Population with at least some secondary education (% ages 25 and older),74.72540548,2019
MYS,Malaysia,23906,"Population with at least some secondary education, female (% ages 25 and older)",72.19998,2019
MYS,Malaysia,24006,"Population with at least some secondary education, male (% ages 25 and older)",76.52552306,2019
MYS,Malaysia,24106,"Mean years of schooling, female (years)",10.27343,2019
MYS,Malaysia,24206,"Mean years of schooling, male (years)",10.47029,2019
MYS,Malaysia,31706,Share of seats in parliament (% held by women),15.51724138,2019
MYS,Malaysia,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",13.414,2019
MYS,Malaysia,43006,Vulnerable employment (% of total employment),21.789,2019
MYS,Malaysia,44206,Total population (millions),31.949789,2019
MYS,Malaysia,45106,Urban population (%),76.6,2019
MYS,Malaysia,48706,"Labour force participation rate (% ages 15 and older), female",50.748,2019
MYS,Malaysia,48806,"Labour force participation rate (% ages 15 and older), male",77.102,2019
MYS,Malaysia,49006,Sex ratio at birth (male to female births),1.06,2019
MYS,Malaysia,52606,"Remittances, inflows (% of GDP)",0.45479741,2019
MYS,Malaysia,63106,Population ages 15–64 (millions),22.168126,2019
MYS,Malaysia,64306,"Infants lacking immunization, measles (% of one-year-olds)",3,2019
MYS,Malaysia,64406,"Infants lacking immunization, DTP (% of one-year-olds)",1,2019
MYS,Malaysia,65606,Gross fixed capital formation (% of GDP),22.95572111,2019
MYS,Malaysia,68606,Gender Inequality Index (GII),0.253,2019
MYS,Malaysia,69206,Life expectancy at birth (years),76.16,2019
MYS,Malaysia,69706,Expected years of schooling (years),13.67864,2019
MYS,Malaysia,71406,Inequality-adjusted education index,0.637910712,2019
MYS,Malaysia,71506,Inequality-adjusted life expectancy index,0.811296,2019
MYS,Malaysia,101606,Inequality in education (%),12.1,2019
MYS,Malaysia,101806,Inequality in life expectancy (%),6.1,2019
MYS,Malaysia,103006,Mean years of schooling (years),10.37283,2019
MYS,Malaysia,103206,Life expectancy index,0.864,2019
MYS,Malaysia,103606,Income index,0.848632651,2019
MYS,Malaysia,103706,Education index,0.725723222,2019
MYS,Malaysia,110906,"Unemployment, youth (% ages 15–24)",11.262,2019
MYS,Malaysia,120606,"Life expectancy at birth, female (years)",78.317,2019
MYS,Malaysia,121106,"Life expectancy at birth, male (years)",74.234,2019
MYS,Malaysia,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),34.15,2019
MYS,Malaysia,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),9.975,2019
MYS,Malaysia,123306,"Expected years of schooling, female (years)",14.03851,2019
MYS,Malaysia,123406,"Expected years of schooling, male (years)",13.33979,2019
MYS,Malaysia,132706,Population ages 65 and older (millions),2.21117,2019
MYS,Malaysia,132806,Population under age 5 (millions),2.620281,2019
MYS,Malaysia,133206,Exports and imports (% of GDP),123.09095,2019
MYS,Malaysia,137506,Human Development Index (HDI),0.81,2019
MYS,Malaysia,140606,"Unemployment, total (% of labour force)",3.324,2019
MYS,Malaysia,146206,HDI rank,62,2019
MYS,Malaysia,147906,Youth not in school or employment (% ages 15-24),12.051,2019
MYS,Malaysia,148206,Labour force participation rate (% ages 15 and older),64.289,2019
MYS,Malaysia,148306,Employment to population ratio (% ages 15 and older),62.152,2019
MYS,Malaysia,150606,Employment in agriculture (% of total employment),10.361,2019
MYS,Malaysia,150706,Employment in services (% of total employment),62.642,2019
MYS,Malaysia,153706,Working poor at PPP$3.20 a day (% of total employment),0.046,2019
MYS,Malaysia,169706,Total unemployment rate (female to male ratio),1.220228385,2019
MYS,Malaysia,169806,Youth unemployment rate (female to male ratio),1.125372856,2019
MYS,Malaysia,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",39.93673706,2019
MYS,Malaysia,178306,Gross capital formation (% of GDP),20.922049,2019
MYS,Malaysia,181606,Red List Index (value),0.7687,2019
MYS,Malaysia,184306,"Number of deaths and missing persons attributed to disasters (per 100,000 population)",0.02762,2019
MYS,Malaysia,194506,"Gross domestic product (GDP), total (2017 PPP $ billions)",905.795035,2019
MYS,Malaysia,194906,GDP per capita (2017 PPP $),28350.59021,2019
MYS,Malaysia,195706,Gross national income (GNI) per capita (constant 2017 PPP$),27534.09856,2019
MYS,Malaysia,23806,Population with at least some secondary education (% ages 25 and older),74.20724,2018
MYS,Malaysia,23906,"Population with at least some secondary education, female (% ages 25 and older)",72.19998,2018
MYS,Malaysia,24006,"Population with at least some secondary education, male (% ages 25 and older)",76.10411,2018
MYS,Malaysia,24106,"Mean years of schooling, female (years)",10.0208,2018
MYS,Malaysia,24206,"Mean years of schooling, male (years)",10.2992,2018
MYS,Malaysia,31706,Share of seats in parliament (% held by women),15.80756014,2018
MYS,Malaysia,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",13.34775,2018
MYS,Malaysia,43006,Vulnerable employment (% of total employment),21.921,2018
MYS,Malaysia,43606,"Internet users, total (% of population)",81.2017,2018
MYS,Malaysia,44206,Total population (millions),31.528033,2018
MYS,Malaysia,45106,Urban population (%),76,2018
MYS,Malaysia,45806,Primary school teachers trained to teach (%),97.29857,2018
MYS,Malaysia,46006,Mobile phone subscriptions (per 100 people),134.526,2018
MYS,Malaysia,48706,"Labour force participation rate (% ages 15 and older), female",50.593,2018
MYS,Malaysia,48806,"Labour force participation rate (% ages 15 and older), male",77.04,2018
MYS,Malaysia,52606,"Remittances, inflows (% of GDP)",0.47008028,2018
MYS,Malaysia,53506,"Foreign direct investment, net inflows (% of GDP)",2.389996,2018
MYS,Malaysia,57206,"Mortality rate, infant (per 1,000 live births)",6.651566,2018
MYS,Malaysia,57506,"Mortality rate, under-five (per 1,000 live births)",7.775533,2018
MYS,Malaysia,57806,"Mortality rate, female adult (per 1,000 people)",84.296,2018
MYS,Malaysia,57906,"Mortality rate, male adult (per 1,000 people)",160.383,2018
MYS,Malaysia,58006,"HIV prevalence, adult (% ages 15-49)",0.4,2018
MYS,Malaysia,63106,Population ages 15–64 (millions),21.859363,2018
MYS,Malaysia,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",81.99226,2018
MYS,Malaysia,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",45.12539,2018
MYS,Malaysia,64306,"Infants lacking immunization, measles (% of one-year-olds)",4,2018
MYS,Malaysia,64406,"Infants lacking immunization, DTP (% of one-year-olds)",1,2018
MYS,Malaysia,65606,Gross fixed capital formation (% of GDP),24.20993922,2018
MYS,Malaysia,68606,Gender Inequality Index (GII),0.251,2018
MYS,Malaysia,69206,Life expectancy at birth (years),75.997,2018
MYS,Malaysia,69706,Expected years of schooling (years),13.67864,2018
MYS,Malaysia,71406,Inequality-adjusted education index,0.631936299,2018
MYS,Malaysia,71506,Inequality-adjusted life expectancy index,0.808884418,2018
MYS,Malaysia,97306,Natural resource depletion (% of GNI),4.203953115,2018
MYS,Malaysia,99106,Net official development assistance received (% of GNI),-0.01101222,2018
MYS,Malaysia,101406,"Literacy rate, adult (% ages 15 and older)",94.85441,2018
MYS,Malaysia,101606,Inequality in education (%),12.06360206,2018
MYS,Malaysia,101806,Inequality in life expectancy (%),6.1066,2018
MYS,Malaysia,103006,Mean years of schooling (years),10.15999793,2018
MYS,Malaysia,103206,Life expectancy index,0.861492308,2018
MYS,Malaysia,103606,Income index,0.843177191,2018
MYS,Malaysia,103706,Education index,0.71862882,2018
MYS,Malaysia,110906,"Unemployment, youth (% ages 15–24)",11.028,2018
MYS,Malaysia,111106,International inbound tourists (thousands),25832,2018
MYS,Malaysia,111306,Private capital flows (% of GDP),2.319994,2018
MYS,Malaysia,120606,"Life expectancy at birth, female (years)",78.167,2018
MYS,Malaysia,121106,"Life expectancy at birth, male (years)",74.075,2018
MYS,Malaysia,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),34.609,2018
MYS,Malaysia,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),9.623,2018
MYS,Malaysia,123306,"Expected years of schooling, female (years)",13.8224,2018
MYS,Malaysia,123406,"Expected years of schooling, male (years)",13.1352,2018
MYS,Malaysia,123506,"Estimated gross national income per capita, female (2017 PPP $)",20041.46396,2018
MYS,Malaysia,123606,"Estimated gross national income per capita, male (2017 PPP $)",32713.14944,2018
MYS,Malaysia,132706,Population ages 65 and older (millions),2.103473,2018
MYS,Malaysia,132806,Population under age 5 (millions),2.605621,2018
MYS,Malaysia,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",99.22442,2018
MYS,Malaysia,133206,Exports and imports (% of GDP),130.50278,2018
MYS,Malaysia,136906,"Human Development Index (HDI), female",0.789613113,2018
MYS,Malaysia,137006,"Human Development Index (HDI), male",0.813887862,2018
MYS,Malaysia,137506,Human Development Index (HDI),0.805,2018
MYS,Malaysia,137906,Gender Development Index (GDI),0.970174332,2018
MYS,Malaysia,140606,"Unemployment, total (% of labour force)",3.35,2018
MYS,Malaysia,146206,HDI rank,63,2018
MYS,Malaysia,147906,Youth not in school or employment (% ages 15-24),11.897,2018
MYS,Malaysia,148206,Labour force participation rate (% ages 15 and older),64.188,2018
MYS,Malaysia,148306,Employment to population ratio (% ages 15 and older),62.037,2018
MYS,Malaysia,149206,Government expenditure on education (% of GDP),4.53477,2018
MYS,Malaysia,150606,Employment in agriculture (% of total employment),10.665,2018
MYS,Malaysia,150706,Employment in services (% of total employment),62.182,2018
MYS,Malaysia,153706,Working poor at PPP$3.20 a day (% of total employment),0.051,2018
MYS,Malaysia,164406,Adjusted net savings (% of GNI),2.8073401,2018
MYS,Malaysia,169706,Total unemployment rate (female to male ratio),1.252373159,2018
MYS,Malaysia,169806,Youth unemployment rate (female to male ratio),1.145927276,2018
MYS,Malaysia,170006,Concentration index (exports) (value),0.218404946,2018
MYS,Malaysia,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",39.88182302,2018
MYS,Malaysia,175906,"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, female (%)",26.19804,2018
MYS,Malaysia,176806,Programme for International Student Assessment (PISA) score in science,437.6180737,2018
MYS,Malaysia,176906,Programme for International Student Assessment (PISA) score in reading,414.9795142,2018
MYS,Malaysia,177006,Programme for International Student Assessment (PISA) score in mathematics,440.2075366,2018
MYS,Malaysia,178306,Gross capital formation (% of GDP),23.613774,2018
MYS,Malaysia,180706,"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, male (%)",57.32585,2018
MYS,Malaysia,181706,Rural population with access to electricity (%),100,2018
MYS,Malaysia,182106,"Malaria incidence (per 1,000 people at risk)",0,2018
MYS,Malaysia,182206,"Tuberculosis incidence (per 100,000 people)",92,2018
MYS,Malaysia,183506,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are female (%)",34.16717,2018
MYS,Malaysia,183706,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are male (%)",65.83283,2018
MYS,Malaysia,184306,"Number of deaths and missing persons attributed to disasters (per 100,000 population)",0.04941,2018
MYS,Malaysia,185306,Percentage of primary schools with access to the internet,97.2,2018
MYS,Malaysia,185406,Percentage of secondary schools with access to the internet,96.3,2018
MYS,Malaysia,194506,"Gross domestic product (GDP), total (2017 PPP $ billions)",868.2000755,2018
MYS,Malaysia,194906,GDP per capita (2017 PPP $),27536.9185,2018
MYS,Malaysia,195606,"Carbon dioxide emissions, production emissions per capita (tonnes)",8.073021872,2018
MYS,Malaysia,195706,Gross national income (GNI) per capita (constant 2017 PPP$),26557.4321,2018
MYS,Malaysia,196006,"Use of fertilizer nutrient nitrogen (N), per area of cropland (kg per hectare)",46.15,2018
MYS,Malaysia,196106,"Use of fertilizer nutrient phosphorus (expressed as P2O5), per area of cropland (kg per hectare)",36.8,2018
MYS,Malaysia,23806,Population with at least some secondary education (% ages 25 and older),74.20724,2017
MYS,Malaysia,23906,"Population with at least some secondary education, female (% ages 25 and older)",72.19998,2017
MYS,Malaysia,24006,"Population with at least some secondary education, male (% ages 25 and older)",76.10411,2017
MYS,Malaysia,24106,"Mean years of schooling, female (years)",10.0208,2017
MYS,Malaysia,24206,"Mean years of schooling, male (years)",10.2992,2017
MYS,Malaysia,31706,Share of seats in parliament (% held by women),13.10344828,2017
MYS,Malaysia,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",13.2815,2017
MYS,Malaysia,43006,Vulnerable employment (% of total employment),22.057,2017
MYS,Malaysia,43606,"Internet users, total (% of population)",80.1405,2017
MYS,Malaysia,44206,Total population (millions),31.104655,2017
MYS,Malaysia,45106,Urban population (%),75.4,2017
MYS,Malaysia,45806,Primary school teachers trained to teach (%),98.90949,2017
MYS,Malaysia,46006,Mobile phone subscriptions (per 100 people),136.116,2017
MYS,Malaysia,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",11.6556,2017
MYS,Malaysia,48706,"Labour force participation rate (% ages 15 and older), female",50.609,2017
MYS,Malaysia,48806,"Labour force participation rate (% ages 15 and older), male",77.09,2017
MYS,Malaysia,52606,"Remittances, inflows (% of GDP)",0.51697832,2017
MYS,Malaysia,53506,"Foreign direct investment, net inflows (% of GDP)",2.9372089,2017
MYS,Malaysia,57206,"Mortality rate, infant (per 1,000 live births)",6.746942,2017
MYS,Malaysia,57506,"Mortality rate, under-five (per 1,000 live births)",7.886487,2017
MYS,Malaysia,57806,"Mortality rate, female adult (per 1,000 people)",82.732,2017
MYS,Malaysia,57906,"Mortality rate, male adult (per 1,000 people)",154.826,2017
MYS,Malaysia,58006,"HIV prevalence, adult (% ages 15-49)",0.4,2017
MYS,Malaysia,63106,Population ages 15–64 (millions),21.531338,2017
MYS,Malaysia,63206,"Gross enrolment ratio, primary (% of primary school-age population)",105.2916,2017
MYS,Malaysia,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",85.44908,2017
MYS,Malaysia,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",43.71518,2017
MYS,Malaysia,64306,"Infants lacking immunization, measles (% of one-year-olds)",7,2017
MYS,Malaysia,64406,"Infants lacking immunization, DTP (% of one-year-olds)",1,2017
MYS,Malaysia,65606,Gross fixed capital formation (% of GDP),25.0742902,2017
MYS,Malaysia,68606,Gender Inequality Index (GII),0.263,2017
MYS,Malaysia,69206,Life expectancy at birth (years),75.828,2017
MYS,Malaysia,69706,Expected years of schooling (years),13.87247,2017
MYS,Malaysia,71406,Inequality-adjusted education index,0.611066961,2017
MYS,Malaysia,71506,Inequality-adjusted life expectancy index,0.808217662,2017
MYS,Malaysia,89006,"Maternal mortality ratio (deaths per 100,000 live births)",29,2017
MYS,Malaysia,97106,Fresh water withdrawals (% of total renewable water resources),1.156,2017
MYS,Malaysia,97306,Natural resource depletion (% of GNI),2.979806343,2017
MYS,Malaysia,99106,Net official development assistance received (% of GNI),-0.00943643,2017
MYS,Malaysia,101406,"Literacy rate, adult (% ages 15 and older)",95.08265,2017
MYS,Malaysia,101606,Inequality in education (%),15.6,2017
MYS,Malaysia,101806,Inequality in life expectancy (%),5.9,2017
MYS,Malaysia,103006,Mean years of schooling (years),10.15999793,2017
MYS,Malaysia,103206,Life expectancy index,0.858892308,2017
MYS,Malaysia,103606,Income index,0.839374882,2017
MYS,Malaysia,103706,Education index,0.724012987,2017
MYS,Malaysia,110906,"Unemployment, youth (% ages 15–24)",11.037,2017
MYS,Malaysia,111106,International inbound tourists (thousands),25948,2017
MYS,Malaysia,111306,Private capital flows (% of GDP),-0.144654,2017
MYS,Malaysia,120606,"Life expectancy at birth, female (years)",78.008,2017
MYS,Malaysia,121106,"Life expectancy at birth, male (years)",73.903,2017
MYS,Malaysia,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),35.168,2017
MYS,Malaysia,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),9.295,2017
MYS,Malaysia,123306,"Expected years of schooling, female (years)",14.0857,2017
MYS,Malaysia,123406,"Expected years of schooling, male (years)",13.2902,2017
MYS,Malaysia,123506,"Estimated gross national income per capita, female (2017 PPP $)",19621.22225,2017
MYS,Malaysia,123606,"Estimated gross national income per capita, male (2017 PPP $)",31821.90408,2017
MYS,Malaysia,128306,"Prison population (per 100,000 people)",178.1,2017
MYS,Malaysia,132706,Population ages 65 and older (millions),2.001258,2017
MYS,Malaysia,132806,Population under age 5 (millions),2.585918,2017
MYS,Malaysia,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",99.96703,2017
MYS,Malaysia,133206,Exports and imports (% of GDP),133.21946,2017
MYS,Malaysia,136906,"Human Development Index (HDI), female",0.790473919,2017
MYS,Malaysia,137006,"Human Development Index (HDI), male",0.813409099,2017
MYS,Malaysia,137506,Human Development Index (HDI),0.805,2017
MYS,Malaysia,137906,Gender Development Index (GDI),0.971803635,2017
MYS,Malaysia,140606,"Unemployment, total (% of labour force)",3.41,2017
MYS,Malaysia,147206,International student mobility (% of total tertiary enrolment),3.00354,2017
MYS,Malaysia,147906,Youth not in school or employment (% ages 15-24),11.69,2017
MYS,Malaysia,148206,Labour force participation rate (% ages 15 and older),64.227,2017
MYS,Malaysia,148306,Employment to population ratio (% ages 15 and older),62.037,2017
MYS,Malaysia,149206,Government expenditure on education (% of GDP),4.74071,2017
MYS,Malaysia,150606,Employment in agriculture (% of total employment),10.988,2017
MYS,Malaysia,150706,Employment in services (% of total employment),61.614,2017
MYS,Malaysia,153706,Working poor at PPP$3.20 a day (% of total employment),0.056,2017
MYS,Malaysia,164406,Adjusted net savings (% of GNI),7.2944046,2017
MYS,Malaysia,169706,Total unemployment rate (female to male ratio),1.270873786,2017
MYS,Malaysia,169806,Youth unemployment rate (female to male ratio),1.152566814,2017
MYS,Malaysia,170006,Concentration index (exports) (value),0.192264913,2017
MYS,Malaysia,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",39.91080651,2017
MYS,Malaysia,175706,Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),82.47853851,2017
MYS,Malaysia,177706,Survival rate to the last grade of lower secondary general education (%),92.18836,2017
MYS,Malaysia,178306,Gross capital formation (% of GDP),25.559546,2017
MYS,Malaysia,179706,Ratio of education and health expenditure to military expenditure,7.702459,2017
MYS,Malaysia,181206,Proportion of births attended by skilled health personnel (%),99.6,2017
MYS,Malaysia,181706,Rural population with access to electricity (%),100,2017
MYS,Malaysia,181806,Current health expenditure (% of GDP),3.859398,2017
MYS,Malaysia,182106,"Malaria incidence (per 1,000 people at risk)",0.06832,2017
MYS,Malaysia,182206,"Tuberculosis incidence (per 100,000 people)",94,2017
MYS,Malaysia,182806,Population using safely managed drinking-water services (%),93,2017
MYS,Malaysia,183906,"Labour share of GDP, comprising wages and social protection transfers (%)",41.79999924,2017
MYS,Malaysia,184306,"Number of deaths and missing persons attributed to disasters (per 100,000 population)",0.1093,2017
MYS,Malaysia,185306,Percentage of primary schools with access to the internet,100,2017
MYS,Malaysia,185406,Percentage of secondary schools with access to the internet,100,2017
MYS,Malaysia,186706,"Carbon dioxide emissions, per unit of GDP (kg per 2010 US$ of GDP)",0.25393,2017
MYS,Malaysia,194506,"Gross domestic product (GDP), total (2017 PPP $ billions)",828.89704,2017
MYS,Malaysia,194906,GDP per capita (2017 PPP $),26648.32965,2017
MYS,Malaysia,195206,Population using safely managed sanitation services (%),89,2017
MYS,Malaysia,195606,"Carbon dioxide emissions, production emissions per capita (tonnes)",7.918800941,2017
MYS,Malaysia,195706,Gross national income (GNI) per capita (constant 2017 PPP$),25897.28337,2017
MYS,Malaysia,195906,"Domestic material consumption per capita, (tonnes)",19.27153,2017
MYS,Malaysia,196006,"Use of fertilizer nutrient nitrogen (N), per area of cropland (kg per hectare)",57.56,2017
MYS,Malaysia,196106,"Use of fertilizer nutrient phosphorus (expressed as P2O5), per area of cropland (kg per hectare)",38.97,2017
MYS,Malaysia,23806,Population with at least some secondary education (% ages 25 and older),74.20724,2016
MYS,Malaysia,23906,"Population with at least some secondary education, female (% ages 25 and older)",72.19998,2016
MYS,Malaysia,24006,"Population with at least some secondary education, male (% ages 25 and older)",76.10411,2016
MYS,Malaysia,24106,"Mean years of schooling, female (years)",10.0169,2016
MYS,Malaysia,24206,"Mean years of schooling, male (years)",10.2952,2016
MYS,Malaysia,31706,Share of seats in parliament (% held by women),12.93706294,2016
MYS,Malaysia,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",13.21525,2016
MYS,Malaysia,43006,Vulnerable employment (% of total employment),22.192,2016
MYS,Malaysia,43606,"Internet users, total (% of population)",78.7883,2016
MYS,Malaysia,44206,Total population (millions),30.684652,2016
MYS,Malaysia,45106,Urban population (%),74.8,2016
MYS,Malaysia,45806,Primary school teachers trained to teach (%),99.73452,2016
MYS,Malaysia,46006,Mobile phone subscriptions (per 100 people),141.651,2016
MYS,Malaysia,46106,Primary school dropout rate (% of primary school cohort),3.62044,2016
MYS,Malaysia,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",11.61165,2016
MYS,Malaysia,48706,"Labour force participation rate (% ages 15 and older), female",50.62,2016
MYS,Malaysia,48806,"Labour force participation rate (% ages 15 and older), male",77.191,2016
MYS,Malaysia,52306,Research and development expenditure (% of GDP),1.43665,2016
MYS,Malaysia,52606,"Remittances, inflows (% of GDP)",0.53241146,2016
MYS,Malaysia,53506,"Foreign direct investment, net inflows (% of GDP)",4.4713182,2016
MYS,Malaysia,57206,"Mortality rate, infant (per 1,000 live births)",6.811675,2016
MYS,Malaysia,57506,"Mortality rate, under-five (per 1,000 live births)",7.961764,2016
MYS,Malaysia,57806,"Mortality rate, female adult (per 1,000 people)",83.97,2016
MYS,Malaysia,57906,"Mortality rate, male adult (per 1,000 people)",156.532,2016
MYS,Malaysia,58006,"HIV prevalence, adult (% ages 15-49)",0.4,2016
MYS,Malaysia,63106,Population ages 15–64 (millions),21.197148,2016
MYS,Malaysia,63206,"Gross enrolment ratio, primary (% of primary school-age population)",104.99918,2016
MYS,Malaysia,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",84.70847,2016
MYS,Malaysia,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",46.7621,2016
MYS,Malaysia,64306,"Infants lacking immunization, measles (% of one-year-olds)",7,2016
