Name of Student,GENERAL APPEARANCE,MANNER OF SPEAKING,PHYSICAL CONDITION,MENTAL ALERTNESS,SELF-CONFIDENCE,ABILITY TO PRESENT IDEAS,COMMUNICATION SKILLS,Student Performance Rating,CLASS
Student 71,3,4,3,4,3,4,3,5,Employable
Student 72,4,4,4,4,4,4,4,5,LessEmployable
Student 73,4,3,3,3,4,3,4,5,LessEmployable
Student 74,4,4,4,4,3,4,3,4,Employable
Student 75,3,4,4,4,3,4,3,5,Employable
Student 76,5,4,4,4,4,4,4,5,Employable
Student 77,4,4,4,3,3,4,4,5,Employable
Student 78,3,4,4,3,4,4,3,5,LessEmployable
Student 79,4,3,2,3,2,2,3,5,Employable
Student 80,4,3,4,3,4,3,3,4,Employable
Student 81,4,4,3,4,3,4,3,5,LessEmployable
Student 82,4,4,4,4,3,3,3,5,Employable
Student 83,5,3,3,4,3,3,3,4,LessEmployable
Student 84,4,3,3,3,3,3,2,5,Employable
Student 85,3,4,4,4,4,4,4,5,Employable
Student 86,4,5,4,5,4,4,4,5,Employable
Student 87,4,4,4,3,4,4,3,5,LessEmployable
Student 88,4,4,4,4,3,4,4,5,Employable
Student 89,5,5,5,5,5,5,4,5,Employable
Student 90,3,3,3,3,3,2,2,4,Employable
Student 91,4,4,4,4,4,4,3,5,LessEmployable
Student 92,4,4,4,4,4,4,4,5,LessEmployable
Student 93,4,3,3,3,3,3,2,5,Employable
Student 94,5,4,4,4,4,4,4,4,Employable
Student 95,3,3,3,3,3,3,3,5,LessEmployable
Student 96,4,3,4,3,3,3,3,5,Employable
Student 97,4,3,4,3,3,3,2,5,Employable
Student 98,2,2,3,3,3,3,3,5,LessEmployable
Student 99,4,4,3,4,3,4,3,4,LessEmployable
Student 100,4,4,4,3,3,4,3,5,Employable
Student 101,4,4,5,4,4,4,4,5,LessEmployable
Student 102,5,4,4,4,4,3,3,5,LessEmployable
Student 103,4,4,4,4,3,4,3,5,LessEmployable
Student 104,4,4,4,4,4,4,4,5,LessEmployable
Student 105,4,5,4,4,4,4,4,5,LessEmployable
Student 106,5,5,4,5,5,5,5,5,Employable
Student 107,4,4,4,4,4,4,4,5,Employable
Student 108,5,4,4,4,4,4,3,4,LessEmployable
Student 109,5,4,4,4,4,4,3,3,LessEmployable
Student 110,5,5,4,4,5,4,5,3,LessEmployable
Student 111,5,4,4,4,4,4,3,5,Employable
Student 112,5,4,4,4,4,4,3,5,Employable
Student 113,5,5,4,4,5,4,4,5,Employable
Student 114,4,3,4,4,4,3,3,4,Employable
Student 115,5,4,3,3,3,4,4,5,LessEmployable
Student 116,5,5,5,5,5,5,5,5,Employable
Student 117,5,4,5,5,5,5,4,5,Employable
Student 118,5,4,5,5,5,5,4,5,Employable
Student 119,5,3,5,4,4,3,3,5,Employable
Student 120,5,4,5,5,5,4,4,4,Employable
Student 121,5,3,5,4,4,4,3,4,LessEmployable
Student 122,5,5,5,5,5,4,3,4,Employable
Student 123,5,5,5,5,5,5,3,5,Employable
Student 124,5,4,4,4,4,4,4,5,LessEmployable
Student 125,4,3,4,4,4,3,3,5,LessEmployable
Student 126,4,4,4,4,4,4,3,5,LessEmployable
Student 127,4,4,5,4,4,4,3,5,LessEmployable
Student 128,5,3,5,4,5,5,3,5,Employable
Student 129,5,3,3,3,3,3,2,5,Employable
Student 130,4,3,4,3,4,3,4,4,Employable
Student 131,4,3,4,4,4,3,3,3,Employable
Student 132,4,3,3,2,3,2,3,4,Employable
Student 133,5,5,5,5,5,5,4,5,LessEmployable
Student 134,4,3,4,3,4,3,4,5,LessEmployable
Student 135,3,3,4,4,4,3,3,4,LessEmployable
Student 136,4,3,4,4,4,3,3,5,Employable
Student 137,4,4,4,4,4,3,3,5,Employable
Student 138,4,4,5,5,4,5,5,5,LessEmployable
Student 139,4,5,5,5,5,4,5,5,Employable
Student 140,4,5,5,5,5,4,5,5,Employable
Student 141,4,4,3,4,4,4,4,5,LessEmployable
Student 142,4,3,4,4,4,3,3,4,LessEmployable
Student 143,4,3,4,4,3,4,4,5,LessEmployable
Student 144,3,3,4,4,4,4,4,5,LessEmployable
Student 145,5,4,4,4,5,4,5,5,LessEmployable
Student 146,3,3,3,3,4,3,3,3,Employable
Student 147,3,3,4,3,4,3,3,3,Employable
Student 148,3,4,3,4,3,4,3,5,Employable
Student 149,4,4,4,3,4,4,3,4,LessEmployable
Student 150,5,4,4,3,3,4,4,4,LessEmployable
Student 151,4,3,2,4,3,4,3,5,LessEmployable
Student 152,5,5,5,4,5,4,5,5,LessEmployable
Student 153,4,2,4,4,3,3,3,5,LessEmployable
Student 154,5,5,5,5,5,5,5,5,LessEmployable
Student 155,4,3,3,4,3,3,3,3,Employable
Student 156,5,4,3,3,3,3,2,3,LessEmployable
Student 157,5,5,5,5,5,4,5,5,Employable
Student 158,4,5,5,5,5,5,5,3,LessEmployable
Student 159,4,5,5,3,3,5,3,5,LessEmployable
Student 160,4,5,3,5,5,5,3,5,Employable
Student 161,3,5,5,3,5,5,3,5,Employable
Student 162,3,3,3,3,3,3,3,5,Employable
Student 163,4,3,4,4,4,3,3,5,Employable
Student 164,4,3,4,2,2,2,2,5,LessEmployable
Student 165,3,2,3,3,3,3,3,5,LessEmployable
Student 166,5,5,4,5,4,5,4,5,LessEmployable
Student 167,3,4,3,4,3,4,3,5,Employable
Student 168,4,3,3,3,3,3,3,5,Employable
Student 169,5,4,4,4,4,4,4,5,Employable
Student 170,4,4,4,4,4,4,4,4,Employable
Student 171,4,4,4,4,3,3,3,5,LessEmployable
Student 172,5,4,5,5,5,5,4,5,LessEmployable
Student 173,3,4,3,3,3,3,3,5,LessEmployable
Student 174,4,3,3,3,3,3,3,5,Employable
Student 175,4,5,4,4,4,4,4,5,LessEmployable
Student 176,5,4,4,4,4,4,4,5,Employable
Student 177,5,5,4,5,4,4,5,4,Employable
Student 178,4,4,4,4,5,5,5,3,Employable
Student 179,4,3,3,4,3,3,3,5,LessEmployable
Student 180,4,5,5,5,4,4,4,5,Employable
Student 181,4,4,4,3,3,4,3,5,Employable
Student 182,4,4,4,3,3,4,3,5,Employable
Student 183,4,5,4,5,5,5,5,5,Employable
Student 184,4,4,4,4,4,4,3,5,Employable
Student 185,4,3,3,3,3,3,2,5,LessEmployable
Student 186,3,3,3,2,3,3,3,5,LessEmployable
Student 187,4,4,3,3,4,4,3,5,Employable
Student 188,4,4,3,3,3,3,3,5,Employable
Student 189,4,4,4,3,3,3,3,3,Employable
Student 190,5,3,3,4,3,3,3,5,Employable
Student 191,4,4,4,4,4,4,4,5,Employable
Student 192,4,4,3,4,3,4,4,5,Employable
Student 193,5,5,5,5,5,5,4,5,LessEmployable
Student 194,3,4,4,4,3,4,4,5,Employable
Student 195,4,3,3,2,3,3,2,5,LessEmployable
Student 196,3,3,3,3,3,2,2,4,LessEmployable
Student 197,4,4,3,4,4,4,3,5,LessEmployable
Student 198,3,3,3,3,3,3,3,4,LessEmployable
Student 199,5,3,3,3,3,3,3,4,LessEmployable
Student 200,4,4,4,4,4,4,4,5,LessEmployable
Student 201,4,4,4,5,5,4,4,5,LessEmployable
Student 202,4,3,3,4,5,4,3,5,LessEmployable
Student 203,5,4,5,4,4,4,4,5,Employable
Student 204,5,4,4,4,4,4,4,3,Employable
Student 205,5,4,5,5,5,5,4,5,Employable
Student 206,4,3,3,3,5,3,3,3,LessEmployable
Student 207,5,5,5,5,5,4,4,4,Employable
Student 208,5,5,4,4,5,5,4,3,Employable
Student 209,4,4,4,4,3,3,3,3,LessEmployable
Student 210,5,5,5,5,5,4,4,3,Employable
Student 211,5,4,4,4,4,5,4,5,Employable
Student 212,5,5,5,5,5,5,4,5,Employable
Student 213,4,3,4,4,3,4,3,5,LessEmployable
Student 214,4,3,4,4,3,3,3,3,LessEmployable
Student 215,5,5,4,5,5,4,4,5,LessEmployable
Student 216,4,4,4,5,5,4,3,5,LessEmployable
Student 217,5,4,5,5,5,5,5,5,Employable
Student 218,5,3,3,4,5,3,3,3,Employable
Student 219,5,5,5,5,4,5,4,5,Employable
Student 220,5,5,4,5,4,5,5,5,Employable
Student 221,4,4,3,3,3,4,4,3,LessEmployable
Student 222,5,5,5,5,5,4,4,5,Employable
Student 223,5,5,5,5,5,4,4,5,Employable
Student 224,5,4,5,5,5,4,4,3,Employable
Student 225,5,4,5,5,5,4,4,5,Employable
Student 226,4,3,4,3,4,3,3,5,LessEmployable
Student 227,5,4,5,5,4,4,4,5,LessEmployable
Student 228,5,3,4,4,3,4,3,5,LessEmployable
Student 229,5,3,3,3,4,3,3,3,LessEmployable
Student 230,5,4,5,5,5,4,4,5,Employable
Student 231,5,5,5,5,5,4,4,3,Employable
Student 232,5,4,5,5,5,4,4,5,Employable
Student 233,5,5,5,5,5,5,4,5,Employable
Student 234,5,4,5,5,5,4,4,5,Employable
Student 235,5,5,5,5,5,5,4,5,Employable
Student 236,5,4,5,5,4,4,4,3,Employable
Student 237,5,3,4,4,4,4,3,5,LessEmployable
Student 238,4,4,4,4,3,4,4,5,LessEmployable
Student 239,5,4,5,5,5,4,4,4,Employable
Student 240,4,5,4,4,4,5,4,5,Employable
Student 241,4,3,3,3,3,3,3,5,Employable
Student 242,4,4,4,4,5,4,4,5,LessEmployable
Student 243,3,3,3,4,3,3,3,5,Employable
Student 244,4,4,4,3,3,3,3,5,Employable
Student 245,4,4,4,3,4,3,3,4,LessEmployable
Student 246,4,4,4,4,4,4,4,4,Employable
Student 247,3,3,3,4,3,3,3,5,Employable
Student 248,5,5,3,5,3,5,5,5,Employable
Student 249,4,4,4,4,4,4,4,5,Employable
Student 250,4,5,5,5,5,5,5,5,Employable
Student 251,4,4,4,4,4,4,4,4,Employable
Student 252,4,3,3,3,3,3,3,5,Employable
Student 253,3,4,3,4,3,4,3,5,Employable
Student 254,4,4,4,4,4,4,4,5,LessEmployable
Student 255,4,3,3,3,4,3,4,5,LessEmployable
Student 256,4,4,4,4,3,4,3,4,Employable
Student 257,3,4,4,4,3,4,3,5,Employable
Student 258,5,4,4,4,4,4,4,5,Employable
Student 259,4,4,4,3,3,4,4,5,Employable
Student 260,3,4,4,3,4,4,3,5,LessEmployable
Student 261,4,3,2,3,2,2,3,5,Employable
Student 262,4,3,4,3,4,3,3,4,Employable
Student 263,4,4,3,4,3,4,3,5,LessEmployable
Student 264,4,4,4,4,3,3,3,5,Employable
Student 265,5,3,3,4,3,3,3,4,LessEmployable
Student 266,4,3,3,3,3,3,2,5,Employable
Student 267,3,4,4,4,4,4,4,5,Employable
Student 268,4,5,4,5,4,4,4,5,Employable
Student 269,4,4,4,3,4,4,3,5,LessEmployable
Student 270,4,4,4,4,3,4,4,5,Employable
Student 271,5,5,5,5,5,5,4,5,Employable
Student 272,3,3,3,3,3,2,2,4,Employable
Student 273,4,4,4,4,4,4,3,5,LessEmployable
Student 274,4,4,4,4,4,4,4,5,LessEmployable
Student 275,4,3,3,3,3,3,2,5,Employable
Student 276,5,4,4,4,4,4,4,4,Employable
Student 277,3,3,3,3,3,3,3,5,LessEmployable
Student 278,4,3,4,3,3,3,3,5,Employable
Student 279,4,3,4,3,3,3,2,5,Employable
Student 280,2,2,3,3,3,3,3,5,LessEmployable
Student 281,4,4,3,4,3,4,3,4,LessEmployable
Student 282,4,4,4,3,3,4,3,5,Employable
Student 283,4,4,5,4,4,4,4,5,LessEmployable
Student 284,5,4,4,4,4,3,3,5,LessEmployable
Student 285,4,4,4,4,3,4,3,5,LessEmployable
Student 286,4,4,4,4,4,4,4,5,LessEmployable
Student 287,4,5,4,4,4,4,4,5,LessEmployable
Student 288,5,5,4,5,5,5,5,5,Employable
Student 289,4,4,4,4,4,4,4,5,Employable
Student 290,5,4,4,4,4,4,3,4,LessEmployable
Student 291,5,4,4,4,4,4,3,3,LessEmployable
Student 292,5,5,4,4,5,4,5,3,LessEmployable
Student 293,5,4,4,4,4,4,3,5,Employable
Student 294,5,4,4,4,4,4,3,5,Employable
Student 295,5,5,4,4,5,4,4,5,Employable
Student 296,4,3,4,4,4,3,3,4,Employable
Student 297,5,4,3,3,3,4,4,5,LessEmployable
Student 298,5,5,5,5,5,5,5,5,Employable
Student 299,5,4,5,5,5,5,4,5,Employable
Student 300,5,4,5,5,5,5,4,5,Employable
Student 301,5,3,5,4,4,3,3,5,Employable
Student 302,5,4,5,5,5,4,4,4,Employable
Student 303,5,3,5,4,4,4,3,4,LessEmployable
Student 304,5,5,5,5,5,4,3,4,Employable
Student 305,5,5,5,5,5,5,3,5,Employable
Student 306,5,4,4,4,4,4,4,5,LessEmployable
Student 307,4,3,4,4,4,3,3,5,LessEmployable
Student 308,4,4,4,4,4,4,3,5,LessEmployable
Student 309,4,4,5,4,4,4,3,5,LessEmployable
Student 310,5,3,5,4,5,5,3,5,Employable
Student 311,5,3,3,3,3,3,2,5,Employable
Student 312,4,3,4,3,4,3,4,4,Employable
Student 313,4,3,4,4,4,3,3,3,Employable
Student 314,4,3,3,2,3,2,3,4,Employable
Student 315,5,5,5,5,5,5,4,5,LessEmployable
Student 316,4,3,4,3,4,3,4,5,LessEmployable
Student 317,3,3,4,4,4,3,3,4,LessEmployable
Student 318,4,3,4,4,4,3,3,5,Employable
Student 319,4,4,4,4,4,3,3,5,Employable
Student 320,4,4,5,5,4,5,5,5,LessEmployable
Student 321,4,5,5,5,5,4,5,5,Employable
Student 322,4,5,5,5,5,4,5,5,Employable
Student 323,4,4,3,4,4,4,4,5,LessEmployable
Student 324,4,3,4,4,4,3,3,4,LessEmployable
Student 325,4,3,4,4,3,4,4,5,LessEmployable
Student 326,3,3,4,4,4,4,4,5,LessEmployable
Student 327,5,4,4,4,5,4,5,5,LessEmployable
Student 328,3,3,3,3,4,3,3,3,Employable
Student 329,3,3,4,3,4,3,3,3,Employable
Student 330,3,4,3,4,3,4,3,5,Employable
Student 331,4,4,4,3,4,4,3,4,LessEmployable
Student 332,5,4,4,3,3,4,4,4,LessEmployable
Student 333,4,3,2,4,3,4,3,5,LessEmployable
Student 334,5,5,5,4,5,4,5,5,LessEmployable
Student 335,4,2,4,4,3,3,3,5,LessEmployable
Student 336,5,5,5,5,5,5,5,5,LessEmployable
Student 337,4,3,3,4,3,3,3,3,Employable
Student 338,5,4,3,3,3,3,2,3,LessEmployable
Student 339,5,5,5,5,5,4,5,5,Employable
Student 340,4,5,5,5,5,5,5,3,LessEmployable
Student 341,4,5,5,3,3,5,3,5,LessEmployable
Student 342,4,5,3,5,5,5,3,5,Employable
Student 343,3,5,5,3,5,5,3,5,Employable
Student 344,3,3,3,3,3,3,3,5,Employable
Student 345,4,3,4,4,4,3,3,5,Employable
Student 346,4,3,4,2,2,2,2,5,LessEmployable
Student 347,3,2,3,3,3,3,3,5,LessEmployable
Student 348,5,5,4,5,4,5,4,5,LessEmployable
Student 349,3,4,3,4,3,4,3,5,Employable
Student 350,4,3,3,3,3,3,3,5,Employable
Student 351,5,4,4,4,4,4,4,5,Employable
Student 352,4,4,4,4,4,4,4,4,Employable
Student 353,4,4,4,4,3,3,3,5,LessEmployable
Student 354,5,4,5,5,5,5,4,5,LessEmployable
Student 355,3,4,3,3,3,3,3,5,LessEmployable
Student 356,4,3,3,3,3,3,3,5,Employable
Student 357,4,5,4,4,4,4,4,5,LessEmployable
Student 358,5,4,4,4,4,4,4,5,Employable
Student 359,5,5,4,5,4,4,5,4,Employable
Student 360,4,4,4,4,5,5,5,3,Employable
Student 361,4,3,3,4,3,3,3,5,LessEmployable
Student 362,4,5,5,5,4,4,4,5,Employable
Student 363,4,4,4,3,3,4,3,5,Employable
Student 364,4,4,4,3,3,4,3,5,Employable
Student 365,4,5,4,5,5,5,5,5,Employable
Student 366,4,4,4,4,4,4,3,5,Employable
Student 367,4,3,3,3,3,3,2,5,LessEmployable
Student 368,3,3,3,2,3,3,3,5,LessEmployable
Student 369,4,4,3,3,4,4,3,5,Employable
Student 370,4,4,3,3,3,3,3,5,Employable
Student 371,4,4,4,3,3,3,3,3,Employable
Student 372,5,3,3,4,3,3,3,5,Employable
Student 373,4,4,4,4,4,4,4,5,Employable
Student 374,4,4,3,4,3,4,4,5,Employable
Student 375,5,5,5,5,5,5,4,5,LessEmployable
Student 376,3,4,4,4,3,4,4,5,Employable
Student 377,4,3,3,2,3,3,2,5,LessEmployable
Student 378,3,3,3,3,3,2,2,4,LessEmployable
Student 379,4,4,3,4,4,4,3,5,LessEmployable
Student 380,3,3,3,3,3,3,3,4,LessEmployable
Student 381,5,3,3,3,3,3,3,4,LessEmployable
Student 382,4,4,4,4,4,4,4,5,LessEmployable
Student 383,4,4,4,5,5,4,4,5,LessEmployable
Student 384,4,3,3,4,5,4,3,5,LessEmployable
Student 385,5,4,5,4,4,4,4,5,Employable
Student 386,5,4,4,4,4,4,4,3,Employable
Student 387,5,4,5,5,5,5,4,5,Employable
Student 388,4,3,3,3,5,3,3,3,LessEmployable
Student 389,5,5,5,5,5,4,4,4,Employable
Student 390,5,5,4,4,5,5,4,3,Employable
Student 391,4,4,4,4,3,3,3,3,LessEmployable
Student 392,5,5,5,5,5,4,4,3,Employable
Student 393,5,4,4,4,4,5,4,5,Employable
Student 394,5,5,5,5,5,5,4,5,Employable
Student 395,4,3,4,4,3,4,3,5,LessEmployable
Student 396,4,3,4,4,3,3,3,3,LessEmployable
Student 397,5,5,4,5,5,4,4,5,LessEmployable
Student 398,4,4,4,5,5,4,3,5,LessEmployable
Student 399,5,4,5,5,5,5,5,5,Employable
Student 400,5,3,3,4,5,3,3,3,Employable
Student 401,5,5,5,5,4,5,4,5,Employable
Student 402,5,5,4,5,4,5,5,5,Employable
Student 403,4,4,3,3,3,4,4,3,LessEmployable
Student 404,5,5,5,5,5,4,4,5,Employable
Student 405,5,5,5,5,5,4,4,5,Employable
Student 406,5,4,5,5,5,4,4,3,Employable
Student 407,5,4,5,5,5,4,4,5,Employable
Student 408,4,3,4,3,4,3,3,5,LessEmployable
Student 409,5,4,5,5,4,4,4,5,LessEmployable
Student 410,5,3,4,4,3,4,3,5,LessEmployable
Student 411,5,3,3,3,4,3,3,3,LessEmployable
Student 412,5,4,5,5,5,4,4,5,Employable
Student 413,5,5,5,5,5,4,4,3,Employable
Student 414,5,4,5,5,5,4,4,5,Employable
Student 415,5,5,5,5,5,5,4,5,Employable
Student 416,5,4,5,5,5,4,4,5,Employable
Student 417,5,5,5,5,5,5,4,5,Employable
Student 418,5,4,5,5,4,4,4,3,Employable
Student 419,5,3,4,4,4,4,3,5,LessEmployable
Student 420,4,4,4,4,3,4,4,5,LessEmployable
Student 421,5,4,5,5,5,4,4,4,Employable
Student 422,4,5,4,4,4,5,4,5,Employable
Student 423,4,3,3,3,3,3,3,5,Employable
Student 424,4,4,4,4,5,4,4,5,LessEmployable
Student 425,3,3,3,4,3,3,3,5,Employable
Student 426,4,4,4,3,3,3,3,5,Employable
Student 427,4,4,4,3,4,3,3,4,LessEmployable
Student 428,4,4,4,4,4,4,4,4,Employable
Student 429,3,3,3,4,3,3,3,5,Employable
Student 430,5,5,3,5,3,5,5,5,Employable
Student 431,4,4,4,4,4,4,4,5,Employable
Student 432,4,5,5,5,5,5,5,5,Employable
Student 433,4,4,4,4,4,4,4,4,Employable
Student 434,4,3,3,3,3,3,3,5,Employable
Student 435,3,4,3,4,3,4,3,5,Employable
Student 436,4,4,4,4,4,4,4,5,LessEmployable
Student 437,4,3,3,3,4,3,4,5,LessEmployable
Student 438,4,4,4,4,3,4,3,4,Employable
Student 439,3,4,4,4,3,4,3,5,Employable
Student 440,5,4,4,4,4,4,4,5,Employable
Student 441,4,4,4,3,3,4,4,5,Employable
Student 442,3,4,4,3,4,4,3,5,LessEmployable
Student 443,4,3,2,3,2,2,3,5,Employable
Student 444,4,3,4,3,4,3,3,4,Employable
Student 445,4,4,3,4,3,4,3,5,LessEmployable
Student 446,4,4,4,4,3,3,3,5,Employable
Student 447,5,3,3,4,3,3,3,4,LessEmployable
Student 448,4,3,3,3,3,3,2,5,Employable
Student 449,3,4,4,4,4,4,4,5,Employable
Student 450,4,5,4,5,4,4,4,5,Employable
Student 451,4,4,4,3,4,4,3,5,LessEmployable
Student 452,4,4,4,4,3,4,4,5,Employable
Student 453,5,5,5,5,5,5,4,5,Employable
Student 454,3,3,3,3,3,2,2,4,Employable
Student 455,4,4,4,4,4,4,3,5,LessEmployable
Student 456,4,4,4,4,4,4,4,5,LessEmployable
Student 457,4,3,3,3,3,3,2,5,Employable
Student 458,5,4,4,4,4,4,4,4,Employable
Student 459,3,3,3,3,3,3,3,5,LessEmployable
Student 460,4,3,4,3,3,3,3,5,Employable
Student 461,4,3,4,3,3,3,2,5,Employable
Student 462,2,2,3,3,3,3,3,5,LessEmployable
Student 463,4,4,3,4,3,4,3,4,LessEmployable
Student 464,4,4,4,3,3,4,3,5,Employable
Student 465,4,4,5,4,4,4,4,5,LessEmployable
Student 466,5,4,4,4,4,3,3,5,LessEmployable
Student 467,4,4,4,4,3,4,3,5,LessEmployable
Student 468,4,4,4,4,4,4,4,5,LessEmployable
Student 469,4,5,4,4,4,4,4,5,LessEmployable
Student 470,5,5,4,5,5,5,5,5,Employable
Student 471,4,4,4,4,4,4,4,5,Employable
Student 472,5,4,4,4,4,4,3,4,LessEmployable
Student 473,5,4,4,4,4,4,3,3,LessEmployable
Student 474,5,5,4,4,5,4,5,3,LessEmployable
Student 475,5,4,4,4,4,4,3,5,Employable
Student 476,5,4,4,4,4,4,3,5,Employable
Student 477,5,5,4,4,5,4,4,5,Employable
Student 478,4,3,4,4,4,3,3,4,Employable
Student 479,5,4,3,3,3,4,4,5,LessEmployable
Student 480,5,5,5,5,5,5,5,5,Employable
Student 481,5,4,5,5,5,5,4,5,Employable
Student 482,5,4,5,5,5,5,4,5,Employable
Student 483,5,3,5,4,4,3,3,5,Employable
Student 484,5,4,5,5,5,4,4,4,Employable
Student 485,5,3,5,4,4,4,3,4,LessEmployable
Student 486,5,5,5,5,5,4,3,4,Employable
Student 487,5,5,5,5,5,5,3,5,Employable
Student 488,5,4,4,4,4,4,4,5,LessEmployable
Student 489,4,3,4,4,4,3,3,5,LessEmployable
Student 490,4,4,4,4,4,4,3,5,LessEmployable
Student 491,4,4,5,4,4,4,3,5,LessEmployable
Student 492,5,3,5,4,5,5,3,5,Employable
Student 493,5,3,3,3,3,3,2,5,Employable
Student 494,4,3,4,3,4,3,4,4,Employable
Student 495,4,3,4,4,4,3,3,3,Employable
Student 496,4,3,3,2,3,2,3,4,Employable
Student 497,5,5,5,5,5,5,4,5,LessEmployable
Student 498,4,3,4,3,4,3,4,5,LessEmployable
Student 499,3,3,4,4,4,3,3,4,LessEmployable
Student 500,4,3,4,4,4,3,3,5,Employable
Student 501,4,4,4,4,4,3,3,5,Employable
Student 502,4,4,5,5,4,5,5,5,LessEmployable
Student 503,4,5,5,5,5,4,5,5,Employable
Student 504,4,5,5,5,5,4,5,5,Employable
Student 505,4,4,3,4,4,4,4,5,LessEmployable
Student 506,4,3,4,4,4,3,3,4,LessEmployable
Student 507,4,3,4,4,3,4,4,5,LessEmployable
Student 508,3,3,4,4,4,4,4,5,LessEmployable
Student 509,5,4,4,4,5,4,5,5,LessEmployable
Student 510,3,3,3,3,4,3,3,3,Employable
Student 511,3,3,4,3,4,3,3,3,Employable
Student 512,3,4,3,4,3,4,3,5,Employable
Student 513,4,4,4,3,4,4,3,4,LessEmployable
Student 514,5,4,4,3,3,4,4,4,LessEmployable
Student 515,4,3,2,4,3,4,3,5,LessEmployable
Student 516,5,5,5,4,5,4,5,5,LessEmployable
Student 517,4,2,4,4,3,3,3,5,LessEmployable
Student 518,5,5,5,5,5,5,5,5,LessEmployable
Student 519,4,3,3,4,3,3,3,3,Employable
Student 520,5,4,3,3,3,3,2,3,LessEmployable
Student 521,5,5,5,5,5,4,5,5,Employable
Student 522,4,5,5,5,5,5,5,3,LessEmployable
Student 523,4,5,5,3,3,5,3,5,LessEmployable
