Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Size_type,Rooms Num,Property Type Supergroup
Kl City,365000,Studio,1.0,1.0,Serviced Residence,325.0,Fully Furnished,Built-up ,1,Serviced Residence
Cheras,260000,3,2.0,1.0,Apartment (Intermediate),748.0,Partly Furnished,Built-up ,3,Apartment
Sentul,280000,3,2.0,1.0,Apartment (Intermediate),838.0,Unfurnished,Built-up ,3,Apartment
Kepong,499000,2+1,2.0,1.0,Condominium,930.0,Partly Furnished,Built-up ,3,Condominium
Cheras,350000,3,2.0,1.0,Apartment (Intermediate),730.0,Unfurnished,Built-up ,3,Apartment
Taman Desa,525000,1,1.0,1.0,Condominium (EndLot),721.0,Fully Furnished,Built-up ,1,Condominium
Sri Petaling,419000,3,2.0,2.0,2-sty Terrace/Link House,1100.0,Partly Furnished,Built-up ,3,Terrace/Link House
Taman Desa,420000,3,2.0,1.0,Condominium,938.0,Fully Furnished,Built-up ,3,Condominium
Taman Desa,435000,Studio,1.0,1.0,Condominium (EndLot),607.0,Fully Furnished,Built-up ,1,Condominium
Bandar Tasik Selatan,170000,2,1.0,1.0,Apartment,640.0,Partly Furnished,Built-up ,2,Apartment
Jalan Klang Lama (Old Klang Road),890000,3,2.0,2.0,Serviced Residence,1100.0,Fully Furnished,Built-up ,3,Serviced Residence
Taman Desa,2311980,5+1,5.0,5.0,Condominium (Corner),3729.0,Fully Furnished,Built-up ,6,Condominium
Sri Petaling,300000,3,2.0,1.0,Condominium,850.0,Partly Furnished,Built-up ,3,Condominium
Salak Selatan,650000,3,2.0,2.0,Serviced Residence,1089.0,Fully Furnished,Built-up ,3,Serviced Residence
Bukit Jalil,310000,2,2.0,1.0,Apartment,738.0,Partly Furnished,Built-up ,2,Apartment
Taman Desa,700000,3,2.0,2.0,Condominium (Intermediate),1192.0,Partly Furnished,Built-up ,3,Condominium
Taman Desa,525000,2+1,2.0,1.0,Condominium (Intermediate),1000.0,Fully Furnished,Built-up ,3,Condominium
Taman Desa,445000,3,2.0,1.0,Condominium,918.0,Fully Furnished,Built-up ,3,Condominium
Taman Desa,290000,3,2.0,1.0,Condominium (EndLot),715.0,Unfurnished,Built-up ,3,Condominium
Taman Desa,410000,3,2.0,1.0,Condominium (Intermediate),938.0,Partly Furnished,Built-up ,3,Condominium
Cheras,465000,3,2.0,1.0,Condominium (Intermediate),1142.0,Unfurnished,Built-up ,3,Condominium
Kl City,890000,1,1.0,1.0,Serviced Residence (Intermediate),657.0,Partly Furnished,Built-up ,1,Serviced Residence
Pantai,950000,1+1,2.0,1.0,Serviced Residence (Intermediate),1353.0,Fully Furnished,Built-up ,2,Serviced Residence
Pantai,750000,1,2.0,1.0,Serviced Residence (Corner),1153.0,Fully Furnished,Built-up ,1,Serviced Residence
Pantai,680000,1,2.0,1.0,Serviced Residence (EndLot),900.0,Partly Furnished,Built-up ,1,Serviced Residence
Pantai,850000,1,2.0,1.0,Serviced Residence (EndLot),1210.0,Fully Furnished,Built-up ,1,Serviced Residence
Kl Eco City,2518500,2+1,3.0,2.0,Condominium,1679.0,Partly Furnished,Built-up ,3,Condominium
Pantai,850000,1,2.0,1.0,Serviced Residence (EndLot),1200.0,Partly Furnished,Built-up ,1,Serviced Residence
Kuchai Lama,450000,3,2.0,1.0,Serviced Residence,937.0,Partly Furnished,Built-up ,3,Serviced Residence
Keramat,500000,3,2.0,2.0,Condominium (Corner),1003.0,Partly Furnished,Built-up ,3,Condominium
Wangsa Maju,1100000,3,2.0,2.0,Condominium (Corner),1528.0,Partly Furnished,Land area ,3,Condominium
Setapak,459000,3,2.0,1.0,Condominium,1207.0,Partly Furnished,Built-up ,3,Condominium
Wangsa Maju,2600000,5,5.0,3.0,Condominium (Penthouse),5000.0,Partly Furnished,Built-up ,5,Condominium
Wangsa Maju,875000,3+1,3.0,2.0,Condominium (Corner),1646.0,Partly Furnished,Built-up ,4,Condominium
Sentul,510000,3,2.0,2.0,Condominium (Corner),1008.0,Partly Furnished,Built-up ,3,Condominium
Sentul,450000,4,2.0,2.0,Condominium (EndLot),1181.0,Fully Furnished,Built-up ,4,Condominium
Puchong,500000,4,3.0,2.0,2-sty Terrace/Link House (Intermediate),1170.0,Partly Furnished,Land area ,4,Terrace/Link House
Cheras,475000,4,3.0,2.0,2-sty Terrace/Link House (EndLot),1170.0,Partly Furnished,Land area ,4,Terrace/Link House
Klcc,2100000,3+1,4.0,2.0,Condominium,2680.0,Partly Furnished,Built-up ,4,Condominium
Bukit Jalil,1100000,3+1,3.0,2.0,Condominium,1440.0,Fully Furnished,Built-up ,4,Condominium
Sentul,1000000,3+1,4.0,3.0,Condominium,1488.0,Partly Furnished,Built-up ,4,Condominium
Sentul,799000,3,3.0,2.0,Condominium,1237.0,Partly Furnished,Built-up ,3,Condominium
Sentul,790000,2+1,2.0,2.0,Condominium,1237.0,Partly Furnished,Built-up ,3,Condominium
Sentul,850000,3+1,4.0,3.0,Condominium,1273.0,Partly Furnished,Built-up ,4,Condominium
Segambut,730000,3+1,3.0,2.0,Condominium,1262.0,Fully Furnished,Built-up ,4,Condominium
Klcc,1300000,2+1,2.0,1.0,Condominium,1676.0,Fully Furnished,Built-up ,3,Condominium
Mont Kiara,1680000,3+1,4.0,3.0,Condominium,2648.0,Partly Furnished,Built-up ,4,Condominium
Desa Pandan,1080000,2,2.0,2.0,Serviced Residence,1410.0,Fully Furnished,Built-up ,2,Serviced Residence
Damansara Heights,4100000,6+1,5.0,5.0,Bungalow (Corner),6144.0,Partly Furnished,Land area ,7,Bungalow
Bangsar,6500000,5,5.0,4.0,Bungalow,12000.0,Partly Furnished,Land area ,5,Bungalow
Sri Hartamas,6000000,5+1,7.0,8.0,Bungalow,8900.0,Partly Furnished,Land area ,6,Bungalow
Kl City,800000,1,1.0,1.0,Serviced Residence,657.0,Fully Furnished,Built-up ,1,Serviced Residence
Taman Tun Dr Ismail,790000,3,2.0,1.0,Condominium (Intermediate),1400.0,Partly Furnished,Land area ,3,Condominium
Brickfields,950000,3,2.0,1.0,Condominium (Intermediate),1508.0,Partly Furnished,Built-up ,3,Condominium
Cheras,780000,4+1,2.0,3.0,2-sty Terrace/Link House,1650.0,Partly Furnished,Land area ,5,Terrace/Link House
Jalan Klang Lama (Old Klang Road),830000,3,2.0,2.0,Condominium (Corner),1448.0,Fully Furnished,Built-up ,3,Condominium
Mont Kiara,12800000,8,10.0,5.0,Bungalow,15750.0,Partly Furnished,Land area ,8,Bungalow
Mont Kiara,12800000,5,6.0,6.0,Bungalow,11000.0,Partly Furnished,Land area ,5,Bungalow
Jalan Klang Lama (Old Klang Road),1050000,3+1,4.0,2.0,Condominium (EndLot),1875.0,Partly Furnished,Built-up ,4,Condominium
Taman Tun Dr Ismail,820000,3,2.0,1.0,Serviced Residence,1010.0,Fully Furnished,Built-up ,3,Serviced Residence
Sri Hartamas,4200000,5+1,5.0,4.0,Semi-detached House,4040.0,Partly Furnished,Land area ,6,Semi-detached House
Mont Kiara,795000,3,2.0,1.0,Serviced Residence,1148.0,Fully Furnished,Built-up ,3,Serviced Residence
Mont Kiara,820000,3,2.0,1.0,Serviced Residence,1248.0,Partly Furnished,Built-up ,3,Serviced Residence
Mont Kiara,740000,3,2.0,2.0,Serviced Residence,1248.0,Fully Furnished,Built-up ,3,Serviced Residence
Batu Caves,580000,2,2.0,1.0,Serviced Residence,950.0,Partly Furnished,Built-up ,2,Serviced Residence
Wangsa Maju,630000,4,2.0,2.0,Condominium,1243.0,Partly Furnished,Built-up ,4,Condominium
Wangsa Maju,650000,4,2.0,2.0,Condominium,1243.0,Partly Furnished,Built-up ,4,Condominium
Pantai,13000000,6+1,7.0,6.0,Bungalow,16000.0,Partly Furnished,Land area ,7,Bungalow
Mont Kiara,1850000,3,5.0,5.0,Condominium (Corner),2163.0,Fully Furnished,Built-up ,3,Condominium
Mont Kiara,2650000,4+2,5.0,3.0,Condominium,3401.0,Partly Furnished,Built-up ,6,Condominium
Mont Kiara,1300000,3+1,4.0,2.0,Condominium,1661.0,Partly Furnished,Built-up ,4,Condominium
Mont Kiara,1450000,3+1,4.0,2.0,Condominium,2002.0,Fully Furnished,Built-up ,4,Condominium
Klcc,2150000,2+1,2.0,1.0,Serviced Residence,1271.0,Fully Furnished,Built-up ,3,Serviced Residence
Mont Kiara,2850000,4+1,5.0,3.0,Condominium,3169.0,Fully Furnished,Built-up ,5,Condominium
Klcc,8045000,3+2,4.0,2.0,Condominium,3218.0,Fully Furnished,Built-up ,5,Condominium
Mont Kiara,1550000,3+1,4.0,2.0,Condominium (Corner),2002.0,Fully Furnished,Built-up ,4,Condominium
Cheras,820000,4,3.0,3.0,2-sty Terrace/Link House (Corner),3400.0,Unfurnished,Land area ,4,Terrace/Link House
Bukit Bintang,1280000,3,2.0,2.0,Serviced Residence (Corner),1555.0,Fully Furnished,Built-up ,3,Serviced Residence
Mont Kiara,2900000,4+1,5.0,3.0,Condominium,3137.0,Partly Furnished,Land area ,5,Condominium
Kepong,375000,3,2.0,1.0,Condominium (Corner),950.0,Partly Furnished,Built-up ,3,Condominium
Kepong,428000,3,2.0,1.0,Apartment (Intermediate),968.0,Partly Furnished,Built-up ,3,Apartment
Jalan Sultan Ismail,720000,2,2.0,1.0,Serviced Residence (Intermediate),924.0,Partly Furnished,Built-up ,2,Serviced Residence
Sentul,510000,3,2.0,2.0,Condominium (Intermediate),1230.0,Partly Furnished,Built-up ,3,Condominium
Kepong,550000,3,2.0,1.0,Condominium (Intermediate),1182.0,Partly Furnished,Built-up ,3,Condominium
Dutamas,500000,3,2.0,2.0,Condominium (Intermediate),1100.0,Fully Furnished,Built-up ,3,Condominium
Setapak,360000,2,2.0,2.0,Serviced Residence (Intermediate),856.0,Unfurnished,Built-up ,2,Serviced Residence
Setapak,530000,3,2.0,2.0,Serviced Residence (Intermediate),1260.0,Unfurnished,Built-up ,3,Serviced Residence
Setapak,400000,3,2.0,2.0,Serviced Residence (Intermediate),1009.0,Unfurnished,Built-up ,3,Serviced Residence
Mont Kiara,610000,Studio,1.0,1.0,Serviced Residence (Intermediate),462.0,Fully Furnished,Built-up ,1,Serviced Residence
Desa Parkcity,1100000,2,1.0,1.0,Condominium (Intermediate),1034.0,Partly Furnished,Built-up ,2,Condominium
Desa Parkcity,1750000,3+1,3.0,2.0,Condominium (Intermediate),1690.0,Fully Furnished,Built-up ,4,Condominium
Jalan Kuching,615000,3,2.0,1.0,Condominium (Intermediate),1200.0,Fully Furnished,Built-up ,3,Condominium
Ampang Hilir,565000,Studio,1.0,1.0,Serviced Residence (Intermediate),502.0,Fully Furnished,Built-up ,1,Serviced Residence
Jalan Ipoh,635000,3+1,2.0,3.0,Condominium (Intermediate),1271.0,Partly Furnished,Built-up ,4,Condominium
Jalan Ipoh,515000,3,2.0,2.0,Condominium (Intermediate),1037.0,Unfurnished,Built-up ,3,Condominium
Setapak,480000,3,2.0,2.0,Condominium (Intermediate),1333.0,Unfurnished,Built-up ,3,Condominium
Setapak,700000,3+1,2.0,2.0,Condominium (Intermediate),1500.0,Fully Furnished,Built-up ,4,Condominium
Bandar Menjalara,830000,4+1,3.0,2.0,Condominium (Intermediate),1635.0,Partly Furnished,Built-up ,5,Condominium
Setapak,580000,3+1,2.0,3.0,Condominium (Intermediate),1600.0,Unfurnished,Built-up ,4,Condominium
Mont Kiara,800000,2,2.0,1.0,Serviced Residence (Intermediate),1088.0,Fully Furnished,Built-up ,2,Serviced Residence
Sungai Besi,535000,3+1,2.0,1.0,Condominium (Intermediate),1109.0,Unfurnished,Built-up ,4,Condominium
Jalan Kuching,730000,3+1,2.0,2.0,Condominium (Intermediate),1590.0,Partly Furnished,Built-up ,4,Condominium
Jalan Kuching,780000,3+1,2.0,1.0,Condominium (Intermediate),1470.0,Fully Furnished,Built-up ,4,Condominium
Mont Kiara,650000,1,2.0,1.0,Serviced Residence (Intermediate),804.0,Fully Furnished,Built-up ,1,Serviced Residence
Segambut,730000,3+1,3.0,2.0,Condominium (Intermediate),1250.0,Unfurnished,Built-up ,4,Condominium
Setapak,670000,3+1,3.0,2.0,Condominium (Intermediate),1362.0,Fully Furnished,Built-up ,4,Condominium
Dutamas,470000,3,2.0,1.0,Condominium (Intermediate),1100.0,Fully Furnished,Built-up ,3,Condominium
Taman Desa,358000,1,1.0,1.0,Condominium (Intermediate),520.0,Fully Furnished,Built-up ,1,Condominium
Sentul,530000,3,2.0,2.0,Serviced Residence (Intermediate),948.0,Unfurnished,Built-up ,3,Serviced Residence
Setapak,415000,4,2.0,1.0,Condominium (Intermediate),1200.0,Unfurnished,Built-up ,4,Condominium
Wangsa Maju,630000,3+1,2.0,1.0,Serviced Residence (Intermediate),900.0,Fully Furnished,Built-up ,4,Serviced Residence
Setapak,659000,2,2.0,2.0,Serviced Residence (Intermediate),1760.0,Partly Furnished,Built-up ,2,Serviced Residence
Segambut,720000,3+1,3.0,1.0,Condominium (Duplex),1600.0,Partly Furnished,Built-up ,4,Condominium
Klcc,1194000,2,2.0,1.0,Condominium (Intermediate),1551.0,Partly Furnished,Built-up ,2,Condominium
Setapak,350000,Studio,1.0,1.0,Serviced Residence (Intermediate),380.0,Partly Furnished,Built-up ,1,Serviced Residence
Setapak,410000,4,2.0,1.0,Condominium (Intermediate),1272.0,Partly Furnished,Built-up ,4,Condominium
Setapak,500000,3,2.0,1.0,Apartment (Intermediate),1100.0,Fully Furnished,Built-up ,3,Apartment
City Centre,1350000,1,1.0,1.0,Serviced Residence (Intermediate),1020.0,Fully Furnished,Built-up ,1,Serviced Residence
Setapak,400000,4,2.0,2.0,Condominium (Intermediate),1272.0,Fully Furnished,Built-up ,4,Condominium
Bukit Tunku (Kenny Hills),1790000,3+1,5.0,2.0,Condominium (Intermediate),2207.0,Partly Furnished,Built-up ,4,Condominium
Ampang,600000,1,1.0,1.0,Serviced Residence (Intermediate),700.0,Fully Furnished,Built-up ,1,Serviced Residence
Desa Parkcity,2400000,4+1,5.0,4.0,Condominium (Intermediate),2454.0,Fully Furnished,Built-up ,5,Condominium
Taman Melawati,500000,3,2.0,2.0,Serviced Residence (Intermediate),1007.0,Unfurnished,Built-up ,3,Serviced Residence
Segambut,800000,3,3.0,2.0,Condominium (Intermediate),1391.0,Partly Furnished,Built-up ,3,Condominium
Setapak,530000,4,2.0,2.0,Condominium (Intermediate),1313.0,Partly Furnished,Built-up ,4,Condominium
Setapak,520000,3,2.0,2.0,Condominium (Intermediate),1102.0,Partly Furnished,Built-up ,3,Condominium
Sri Hartamas,560000,1,1.0,1.0,Serviced Residence (Intermediate),640.0,Fully Furnished,Built-up ,1,Serviced Residence
Ampang,650000,1,1.0,1.0,Serviced Residence (Intermediate),850.0,Fully Furnished,Built-up ,1,Serviced Residence
Bukit Bintang,380000,3,2.0,1.0,Apartment (Intermediate),923.0,Unfurnished,Built-up ,3,Apartment
Setapak,439000,3,2.0,1.0,Condominium (Intermediate),1207.0,Fully Furnished,Built-up ,3,Condominium
Ampang Hilir,600000,2,2.0,1.0,Serviced Residence (Intermediate),950.0,Fully Furnished,Built-up ,2,Serviced Residence
Ampang,4340000,5+1,8.0,4.0,Condominium (Penthouse),6026.0,Partly Furnished,Built-up ,6,Condominium
Segambut,615000,3,2.0,2.0,Condominium (Intermediate),1019.0,Partly Furnished,Built-up ,3,Condominium
Kepong,490000,3,2.0,2.0,Serviced Residence (Intermediate),1174.0,Unfurnished,Built-up ,3,Serviced Residence
Ampang,2200000,4+1,6.0,3.0,Condominium (Duplex),3118.0,Partly Furnished,Built-up ,5,Condominium
Klcc,2357000,3+1,4.0,2.0,Condominium (Intermediate),2245.0,Partly Furnished,Built-up ,4,Condominium
Ampang Hilir,3116750,4+1,4.0,2.0,Condominium,3562.0,Partly Furnished,Built-up ,5,Condominium
Klcc,1673000,2+1,3.0,1.0,Condominium (Intermediate),2174.0,Partly Furnished,Built-up ,3,Condominium
Kepong,425000,3,2.0,1.0,Serviced Residence (Intermediate),1137.0,Unfurnished,Built-up ,3,Serviced Residence
Kepong,488000,3,2.0,3.0,Serviced Residence (Intermediate),1137.0,Partly Furnished,Built-up ,3,Serviced Residence
Sentul,955000,3,3.0,2.0,Condominium,1237.0,Unfurnished,Built-up ,3,Condominium
Mont Kiara,1280000,3+1,3.0,2.0,Condominium,1668.0,Fully Furnished,Built-up ,4,Condominium
Sentul,700000,2+1,3.0,1.0,Condominium (Intermediate),999.0,Unfurnished,Built-up ,3,Condominium
Mont Kiara,708000,3,2.0,1.0,Condominium,1406.0,Partly Furnished,Built-up ,3,Condominium
Klcc,1700000,2,2.0,2.0,Serviced Residence,1227.0,Fully Furnished,Built-up ,2,Serviced Residence
Klcc,2580000,3+1,5.0,2.0,Condominium,3335.0,Partly Furnished,Built-up ,4,Condominium
Ampang Hilir,7230000,7,8.0,4.0,Condominium (Penthouse),6576.0,Fully Furnished,Built-up ,7,Condominium
Klcc,1852000,5,5.0,2.0,Condominium (Corner),2315.0,Fully Furnished,Built-up ,5,Condominium
Kl Sentral,2600000,3,4.0,2.0,Serviced Residence,1744.0,Partly Furnished,Built-up ,3,Serviced Residence
Klcc,3350000,2,3.0,1.0,Condominium,1930.0,Partly Furnished,Built-up ,2,Condominium
Ampang Hilir,505000,Studio,1.0,1.0,Serviced Residence,502.0,Fully Furnished,Built-up ,1,Serviced Residence
Klcc,1650000,2,2.0,1.0,Serviced Residence,1432.0,Partly Furnished,Built-up ,2,Serviced Residence
Country Heights Damansara,697000,3,2.0,1.0,Serviced Residence,915.0,Partly Furnished,Built-up ,3,Serviced Residence
Ampang,1400000,5,4.0,2.0,3-sty Terrace/Link House,1400.0,Fully Furnished,Land area ,5,Terrace/Link House
Cheras,680000,4,3.0,2.0,Townhouse (Corner),2333.0,Unfurnished,Built-up ,4,Townhouse
Damansara Heights,13800000,5+1,7.0,4.0,Bungalow,7468.0,Partly Furnished,Land area ,6,Bungalow
Cheras,650000,3+1,2.0,2.0,Condominium,1480.0,Partly Furnished,Built-up ,4,Condominium
Desa Petaling,365000,3,2.0,1.0,Condominium,1009.0,Partly Furnished,Built-up ,3,Condominium
Taman Desa,2500000,5,4.0,2.0,2-sty Terrace/Link House (Corner),3885.0,Partly Furnished,Land area ,5,Terrace/Link House
Taman Desa,1500000,4,3.0,2.0,Condominium (Corner),2200.0,Fully Furnished,Land area ,4,Condominium
Taman Desa,420000,3,2.0,1.0,Condominium (Intermediate),918.0,Partly Furnished,Land area ,3,Condominium
Taman Desa,1500000,4,3.0,2.0,Condominium (Penthouse),2650.0,Partly Furnished,Land area ,4,Condominium
Taman Desa,630000,3,2.0,1.0,Condominium (Intermediate),1100.0,Partly Furnished,Land area ,3,Condominium
Kl City,450000,3,2.0,1.0,Condominium (Corner),1065.0,Partly Furnished,Built-up ,3,Condominium
Kl Eco City,1200000,1,1.0,1.0,Condominium (Intermediate),797.0,Partly Furnished,Built-up ,1,Condominium
Mont Kiara,1900000,3+1,5.0,3.0,Condominium,2535.0,Partly Furnished,Built-up ,4,Condominium
Wangsa Maju,388000,3,2.0,1.0,Condominium (Intermediate),926.0,Unfurnished,Built-up ,3,Condominium
Wangsa Maju,2100000,7,6.0,2.0,4-sty Terrace/Link House (Intermediate),4200.0,Fully Furnished,Built-up ,7,Terrace/Link House
Bangsar,2100000,3,2.0,1.0,Condominium,2250.0,Fully Furnished,Built-up ,3,Condominium
Bukit Jalil,305000,2,2.0,1.0,Apartment,737.0,Partly Furnished,Land area ,2,Apartment
Kuchai Lama,1450000,5+1,4.0,4.0,3-sty Terrace/Link House (Intermediate),1400.0,Fully Furnished,Land area ,6,Terrace/Link House
City Centre,1100000,3+1,3.0,1.0,Condominium (Intermediate),2111.0,Partly Furnished,Built-up ,4,Condominium
Bandar Menjalara,420000,3,2.0,1.0,Condominium (Intermediate),1076.0,Partly Furnished,Built-up ,3,Condominium
City Centre,938000,2,2.0,1.0,Condominium (Intermediate),1347.0,Fully Furnished,Built-up ,2,Condominium
City Centre,1503000,3+1,5.0,2.0,Condominium (Corner),2505.0,Partly Furnished,Built-up ,4,Condominium
Kepong,330000,3,2.0,1.0,Apartment (Corner),825.0,Partly Furnished,Built-up ,3,Apartment
City Centre,830000,2,2.0,1.0,Condominium (Intermediate),1072.0,Fully Furnished,Built-up ,2,Condominium
Klcc,3616000,4,4.0,2.0,Serviced Residence (EndLot),3897.0,Partly Furnished,Built-up ,4,Serviced Residence
City Centre,700000,2+1,2.0,1.0,Condominium,1248.0,Partly Furnished,Built-up ,3,Condominium
Cheras,328000,3,2.0,1.0,Apartment (Intermediate),748.0,Partly Furnished,Built-up ,3,Apartment
Jalan Klang Lama (Old Klang Road),1150000,2+2,2.0,2.0,Condominium (EndLot),1707.0,Unfurnished,Built-up ,4,Condominium
Desa Petaling,288000,3,2.0,2.0,Apartment (Intermediate),740.0,Fully Furnished,Built-up ,3,Apartment
Mont Kiara,840000,3,2.0,1.0,Condominium (Corner),1550.0,Partly Furnished,Built-up ,3,Condominium
Klcc,940000,1,1.0,1.0,Serviced Residence (Intermediate),764.0,Fully Furnished,Built-up ,1,Serviced Residence
Taman Desa,657000,3,2.0,2.0,Condominium (Intermediate),1100.0,Partly Furnished,Built-up ,3,Condominium
Setapak,2650000,4,4.0,2.0,Bungalow Land,6000.0,Partly Furnished,Land area ,4,Bungalow
Taman Desa,1350000,4,3.0,2.0,2-sty Terrace/Link House (Intermediate),1870.0,Partly Furnished,Land area ,4,Terrace/Link House
Taman Desa,888000,5,4.0,3.0,Condominium (Corner),3343.0,Unfurnished,Built-up ,5,Condominium
Cheras,1150000,4,3.0,2.0,2-sty Terrace/Link House (Intermediate),1738.0,Partly Furnished,Land area ,4,Terrace/Link House
Taman Desa,3300000,4,3.0,6.0,2-sty Terrace/Link House (Corner),8600.0,Partly Furnished,Land area ,4,Terrace/Link House
Jalan Klang Lama (Old Klang Road),1250000,4,3.0,4.0,2-sty Terrace/Link House (Intermediate),1650.0,Partly Furnished,Land area ,4,Terrace/Link House
Taman Tun Dr Ismail,5400000,8,6.0,5.0,Bungalow,7200.0,Partly Furnished,Land area ,8,Bungalow
Sungai Besi,768000,2,3.0,2.0,Serviced Residence (Intermediate),1259.0,Partly Furnished,Built-up ,2,Serviced Residence
Ampang,1750000,4,4.0,2.0,Condominium,1832.0,Fully Furnished,Built-up ,4,Condominium
Ampang,691600,1,2.0,2.0,Serviced Residence (Intermediate),981.0,Partly Furnished,Built-up ,1,Serviced Residence
Mont Kiara,648000,2,2.0,1.0,Condominium,950.0,Fully Furnished,Built-up ,2,Condominium
Mont Kiara,670000,2,2.0,1.0,Condominium,931.0,Partly Furnished,Built-up ,2,Condominium
Kepong,780000,4,3.0,2.0,2-sty Terrace/Link House (Intermediate),1400.0,Partly Furnished,Land area ,4,Terrace/Link House
Bukit Jalil,520000,3,3.0,2.0,Condominium (Corner),1009.0,Unfurnished,Built-up ,3,Condominium
Jalan Klang Lama (Old Klang Road),340000,3,2.0,1.0,Serviced Residence,950.0,Partly Furnished,Built-up ,3,Serviced Residence
Klcc,1500000,3,3.0,1.0,Condominium,1551.0,Fully Furnished,Built-up ,3,Condominium
Mont Kiara,1450000,3+1,4.0,2.0,Condominium (Duplex),3200.0,Partly Furnished,Built-up ,4,Condominium
Jalan Klang Lama (Old Klang Road),1027000,3+1,4.0,2.0,Condominium,1250.0,Partly Furnished,Built-up ,4,Condominium
Taman Melawati,2330000,5+1,5.0,3.0,Bungalow,4479.0,Unfurnished,Built-up ,6,Bungalow
Taman Melawati,2850000,5+1,6.0,4.0,Bungalow (Intermediate),58.0,Partly Furnished,Land area ,6,Bungalow
Wangsa Maju,856096,2,2.0,2.0,Condominium (Intermediate),1033.0,Partly Furnished,Land area ,2,Condominium
Wangsa Maju,1613300,3+1,5.0,3.0,Condominium (Corner),2336.0,Partly Furnished,Land area ,4,Condominium
Wangsa Maju,1200000,3+1,4.0,2.0,Condominium (Corner),1759.0,Fully Furnished,Land area ,4,Condominium
Klcc,2800000,3+2,4.0,2.0,Serviced Residence (Corner),3080.0,Partly Furnished,Built-up ,5,Serviced Residence
Klcc,2000000,2+1,2.0,2.0,Condominium (Corner),2636.0,Fully Furnished,Built-up ,3,Condominium
Jalan Klang Lama (Old Klang Road),920000,2+2,2.0,2.0,Condominium (EndLot),1523.0,Unfurnished,Built-up ,4,Condominium
Kl Sentral,1550000,1,2.0,1.0,Serviced Residence,1119.0,Fully Furnished,Built-up ,1,Serviced Residence
Sungai Besi,620000,3,2.0,2.0,Condominium,1111.0,Partly Furnished,Built-up ,3,Condominium
Desa Pandan,1300000,3+1,3.0,2.0,Serviced Residence,1539.0,Partly Furnished,Land area ,4,Serviced Residence
Klcc,2800000,2+1,2.0,2.0,Serviced Residence (Corner),1459.0,Fully Furnished,Built-up ,3,Serviced Residence
Klcc,2080000,3+1,3.0,1.0,Serviced Residence,1496.0,Fully Furnished,Built-up ,4,Serviced Residence
Mont Kiara,2900000,4+1,6.0,3.0,Condominium (Corner),3137.0,Fully Furnished,Built-up ,5,Condominium
Bangsar,990000,3,2.0,1.0,Condominium (Corner),1571.0,Partly Furnished,Built-up ,3,Condominium
Bukit Jalil,980000,3+1,3.0,2.0,Condominium (Corner),1415.0,Fully Furnished,Built-up ,4,Condominium
Cheras,440000,3,2.0,2.0,Condominium,850.0,Partly Furnished,Built-up ,3,Condominium
Setapak,530000,4,2.0,2.0,Condominium (Intermediate),1450.0,Unfurnished,Built-up ,4,Condominium
Setapak,610000,3+1,3.0,2.0,Condominium (Intermediate),1362.0,Partly Furnished,Built-up ,4,Condominium
Setapak,760000,4,3.0,2.0,2-sty Terrace/Link House,1800.0,Unfurnished,Land area ,4,Terrace/Link House
Setapak,490000,4,2.0,2.0,Condominium (Intermediate),1313.0,Partly Furnished,Built-up ,4,Condominium
Setapak,660000,3+1,3.0,2.0,Condominium (Intermediate),1530.0,Partly Furnished,Built-up ,4,Condominium
Setapak,670000,3+1,3.0,2.0,Condominium (Intermediate),1588.0,Partly Furnished,Built-up ,4,Condominium
Setapak,880000,4,4.0,2.0,2-sty Terrace/Link House (Intermediate),1600.0,Unfurnished,Land area ,4,Terrace/Link House
Wangsa Maju,450000,3,2.0,1.0,Condominium,1150.0,Fully Furnished,Built-up ,3,Condominium
Wangsa Maju,1020000,4,3.0,2.0,3-sty Terrace/Link House (Intermediate),1500.0,Partly Furnished,Land area ,4,Terrace/Link House
Taman Tun Dr Ismail,950000,3,2.0,1.0,Condominium (Intermediate),1350.0,Partly Furnished,Built-up ,3,Condominium
Desa Parkcity,2550000,3+1,5.0,2.0,2-sty Terrace/Link House,2750.0,Partly Furnished,Built-up ,4,Terrace/Link House
Jalan Klang Lama (Old Klang Road),655000,3,2.0,2.0,Serviced Residence (Intermediate),909.0,Partly Furnished,Built-up ,3,Serviced Residence
Kl Sentral,1200000,1+1,1.0,1.0,Condominium,811.0,Fully Furnished,Built-up ,2,Condominium
Bangsar,1350000,3+1,5.0,1.0,Condominium,1862.0,Fully Furnished,Built-up ,4,Condominium
Kl City,1350000,2+1,3.0,2.0,Serviced Residence (EndLot),1051.0,Partly Furnished,Built-up ,3,Serviced Residence
Kl City,1350000,2,1.0,1.0,Serviced Residence (EndLot),990.0,Partly Furnished,Built-up ,2,Serviced Residence
Kl City,2800000,2+1,3.0,1.0,Serviced Residence (EndLot),1441.0,Partly Furnished,Built-up ,3,Serviced Residence
Sentul,690000,2+1,2.0,2.0,Condominium,1087.0,Partly Furnished,Built-up ,3,Condominium
Seputeh,5600000,6+1,6.0,3.0,Bungalow,4500.0,Partly Furnished,Built-up ,7,Bungalow
Cheras,950000,1+1,1.0,1.0,Apartment,694.0,Partly Furnished,Built-up ,2,Apartment
